Class,Order,Family,Genus,species,common_name,rl_id,rl_binomial,fishbase_id,fishbase_binomial
Reptilia,Squamata,Elapidae,Emydocephalus,annulatus,Turtle-headed sea snake,176720,Emydocephalus annulatus,NULL,NULL
Elasmobranchii,Myliobatiformes,Urotrygonidae,Urobatis,jamaicensis,Yellow stingray,60109,Urobatis jamaicensis,2581,Urobatis jamaicensis
Actinopteri,Acanthuriformes,Acanthuridae,Naso,vlamingii,Bignose unicornfish,155120,Naso vlamingii,6024,Naso vlamingii
Actinopteri,Siluriformes,Ariidae,Galeichthys,ater,Black seacatfish,NULL,NULL,5998,Galeichthys ater
Elasmobranchii,Carcharhiniformes,Triakidae,Triakis,megalopterus,Sharptooth houndshark,39362,Triakis megalopterus,5948,Triakis megalopterus
Actinopteri,Centrarchiformes,Cheilodactylidae,Cheilodactylus,fasciatus,Redfingers,NULL,NULL,14284,Cheilodactylus fasciatus
Plantae,Asterales,Asteraceae,Baccharis,pilularis,Dwarf coyote brush / Chaparral broom / Coyote bush,NULL,NULL,NULL,NULL
Actinopteri,Centrarchiformes,Cheilodactylidae,Cheilodactylus,pixi,Barred fingerfin,NULL,NULL,25446,Cheilodactylus pixi
Actinopteri,Centrarchiformes,Latridae,Chirodactylus,brachydactylus,Two-tone fingerfin,NULL,NULL,7654,Chirodactylus brachydactylus
Actinopteri,Perciformes,Lutjanidae,Lutjanus,carponotatus,Spanish flag snapper / Stripey snapper,194384,Lutjanus carponotatus,1424,Lutjanus carponotatus
Actinopteri,Centrarchiformes,Dichistiidae,Dichistius,capensis,Galjoen,NULL,NULL,5997,Dichistius capensis
Actinopteri,Centrarchiformes,Dichistiidae,Dichistius,multifasciatus,Banded galjoen,NULL,NULL,5511,Dichistius multifasciatus
Actinopteri,Perciformes,Serranidae,Cephalopholis,cyanostigma,Bluespotted hind / Bommie cod,132808,Cephalopholis cyanostigma,6445,Cephalopholis cyanostigma
Actinopteri,Centrarchiformes,Kyphosidae,Neoscorpis,lithophilus,Stone-bream,NULL,NULL,5521,Neoscorpis lithophilus
Elasmobranchii,Carcharhiniformes,Scyliorhinidae,Haploblepharus,edwardsii,Puffadder shyshark / Happy eddie,39345,Haploblepharus edwardsii,825,Haploblepharus edwardsii
Elasmobranchii,Carcharhiniformes,Scyliorhinidae,Haploblepharus,fuscus,Brown shyshark,39346,Haploblepharus fuscus,826,Haploblepharus fuscus
Elasmobranchii,Carcharhiniformes,Scyliorhinidae,Haploblepharus,pictus,Dark shyshark / Pretty happy,161650,Haploblepharus pictus,827,Haploblepharus pictus
Elasmobranchii,Carcharhiniformes,Scyliorhinidae,Poroderma,africanum,Striped catshark,39348,Poroderma africanum,835,Poroderma africanum
Elasmobranchii,Carcharhiniformes,Scyliorhinidae,Poroderma,pantherinum,Leopard catshark,161515,Poroderma pantherinum,837,Poroderma pantherinum
Elasmobranchii,Carcharhiniformes,Scyliorhinidae,Scyliorhinus,capensis,Yellowspotted catshark,39349,Scyliorhinus capensis,846,Scyliorhinus capensis
Actinopteri,Perciformes,Serranidae,Acanthistius,sebastoides,Koester,21132444,Acanthistius sebastoides,7920,Acanthistius sebastoides
