Class,Order,Family,Genus,species,common_name,rl_id,rl_binomial,fishbase_id,fishbase_binomial
Aves,Gruiformes,Gruidae,Balearica,regulorum,Grey-crowned crane,22692046,Balearica regulorum,NULL,NULL
Aves,Passeriformes,Acrocephalidae,Acrocephalus,sechellensis,Seychelles warbler,22714882,Acrocephalus sechellensis,NULL,NULL
Aves,Passeriformes,Muscicapidae,Copsychus,sechellarum,Seychelles magpie-robin,22709978,Copsychus sechellarum,NULL,NULL
Aves,Falconiformes,Falconidae,Falco,punctatus,Mauritius kestrel,22696373,Falco punctatus,NULL,NULL
Aves,Galliformes,Phasianidae,Pternistis,ochropectus,Djibouti francolin,22678869,Pternistis ochropectus,NULL,NULL
Aves,Accipitriformes,Accipitridae,Gyps,coprotheres,Cape vulture,22695225,Gyps coprotheres,NULL,NULL
Aves,Accipitriformes,Accipitridae,Gyps,africanus,White-backed vulture,22695189,Gyps africanus,NULL,NULL
Aves,Ciconiiformes,Ciconiidae,Leptoptilos,crumenifer,Marabou,22697716,Leptoptilos crumenifer,NULL,NULL
Aves,Accipitriformes,Accipitridae,Necrosyrtes,monachus,Hooded vulture,22695185,Necrosyrtes monachus,NULL,NULL
Aves,Psittaciformes,Psittacidae,Psittacula,eques,Echo parakeet,22685448,Psittacula eques,NULL,NULL
Aves,Accipitriformes,Accipitridae,Torgos,tracheliotos,Lappet-faced vulture,22695238,Torgos tracheliotos,NULL,NULL
Aves,Accipitriformes,Accipitridae,Trigonoceps,occipitalis,White-headed vulture,22695250,Trigonoceps occipitalis,NULL,NULL
Mammalia,Carnivora,Felidae,Acinonyx,jubatus,Cheetah,219,Acinonyx jubatus,NULL,NULL
Mammalia,Artiodactyla,Bovidae,Aepyceros,melampus,Impala / Black-faced impala,550,Aepyceros melampus,NULL,NULL
Mammalia,Artiodactyla,Bovidae,Alcelaphus,caama,Red hartebeest,814,Alcelaphus buselaphus ssp. caama,NULL,NULL
Mammalia,Artiodactyla,Bovidae,Alcelaphus,buselaphus,Hartebeest / Swayne's hartebeest,811,Alcelaphus buselaphus,NULL,NULL
Mammalia,Artiodactyla,Bovidae,Antidorcas,marsupialis,Springbok,1676,Antidorcas marsupialis,NULL,NULL
Mammalia,Carnivora,Canidae,Canis,mesomelas,Black-backed jackal,3755,Canis mesomelas,NULL,NULL
Mammalia,Carnivora,Canidae,Canis,simensis,Ethiopian wolf,3748,Canis simensis,NULL,NULL
Mammalia,Artiodactyla,Bovidae,Philantomba,maxwellii,Maxwell's duiker,4142,Philantomba maxwellii,NULL,NULL
Mammalia,Artiodactyla,Bovidae,Cephalophus,rufilatus,Red-flanked duiker,4149,Cephalophus rufilatus,NULL,NULL
Mammalia,Perissodactyla,Rhinocerotidae,Ceratotherium,simum,Southern white rhinoceros / Northern white rhinoceros,4185,Ceratotherium simum,NULL,NULL
Mammalia,Primates,Cercopithecidae,Lophocebus,albigena,Grey-cheeked mangabey,12309,Lophocebus albigena,NULL,NULL
Mammalia,Primates,Cercopithecidae,Cercocebus,galeritus,Tana river mangabey,4200,Cercocebus galeritus,NULL,NULL
Mammalia,Primates,Cercopithecidae,Cercopithecus,mitis,Blue monkey,4221,Cercopithecus mitis,NULL,NULL
Mammalia,Primates,Cercopithecidae,Colobus,guereza,Guereza / Magistrate colobus / Eastern black-and-white colobus,5143,Colobus guereza,NULL,NULL
Mammalia,Artiodactyla,Bovidae,Connochaetes,gnou,Black wildebeest / White-tailed gnu,5228,Connochaetes gnou,NULL,NULL
Mammalia,Artiodactyla,Bovidae,Connochaetes,taurinus,White-bearded wildebeest / Blue wildebeest,5229,Connochaetes taurinus,NULL,NULL
Mammalia,Artiodactyla,Bovidae,Damaliscus,pygargus,Bontebok / Blesbok,30208,Damaliscus pygargus,NULL,NULL
Mammalia,Artiodactyla,Bovidae,Beatragus,hunteri,Hirola / Hunter's antelope / Hunter's hartebeest,6234,Beatragus hunteri,NULL,NULL
Mammalia,Artiodactyla,Bovidae,Damaliscus,korrigum,Topi / Korrigum / Tiang,6238,Damaliscus lunatus ssp. korrigum,NULL,NULL
Mammalia,Artiodactyla,Bovidae,Damaliscus,lunatus,Topi / Tsessebe antelope,6235,Damaliscus lunatus,NULL,NULL
Mammalia,Perissodactyla,Rhinocerotidae,Diceros,bicornis,Black rhinoceros,6557,Diceros bicornis,NULL,NULL
Mammalia,Chiroptera,Pteropodidae,Eidolon,helvum,Straw-coloured fruit bat,7084,Eidolon helvum,NULL,NULL
Mammalia,Perissodactyla,Equidae,Equus,burchellii,Burchell's zebra / Plains zebra / Common zebra,41013,Equus quagga,NULL,NULL
Mammalia,Perissodactyla,Equidae,Equus,grevyi,Grevy's zebra,7950,Equus grevyi,NULL,NULL
Mammalia,Perissodactyla,Equidae,Equus,zebra,Cape mountain zebra,7960,Equus zebra,NULL,NULL
Mammalia,Artiodactyla,Bovidae,Nanger,granti,Grant's gazelle,8971,Nanger granti,NULL,NULL
Mammalia,Artiodactyla,Giraffidae,Giraffa,camelopardalis,Giraffe,9194,Giraffa camelopardalis,NULL,NULL
Mammalia,Primates,Hominidae,Gorilla,beringei,Mountain gorilla / Eastern lowland gorilla,39994,Gorilla beringei,NULL,NULL
Mammalia,Artiodactyla,Bovidae,Hippotragus,equinus,Roan antelope,10167,Hippotragus equinus,NULL,NULL
Mammalia,Artiodactyla,Bovidae,Hippotragus,niger,Sable antelope,10170,Hippotragus niger,NULL,NULL
Mammalia,Artiodactyla,Bovidae,Kobus,ellipsiprymnus,Waterbuck,11035,Kobus ellipsiprymnus,NULL,NULL
Mammalia,Artiodactyla,Bovidae,Kobus,kob,Kob,11036,Kobus kob,NULL,NULL
Mammalia,Proboscidea,Elephantidae,Loxodonta,africana,African elephant,12392,Loxodonta africana,NULL,NULL
Mammalia,Carnivora,Canidae,Lycaon,pictus,African wild dog,12436,Lycaon pictus,NULL,NULL
Mammalia,Rodentia,Muridae,Mastomys,natalensis,African rat / Natal multimammate mouse,12868,Mastomys natalensis,NULL,NULL
Mammalia,Artiodactyla,Bovidae,Oryx,dammah,Oryx,15568,Oryx dammah,NULL,NULL
Mammalia,Artiodactyla,Bovidae,Ourebia,ourebi,Oribi,15730,Ourebia ourebi,NULL,NULL
Mammalia,Carnivora,Felidae,Panthera,leo,African lion / Asiatic lion,15951,Panthera leo,NULL,NULL
Mammalia,Primates,Cercopithecidae,Papio,hamadryas,Baboon,16019,Papio hamadryas,NULL,NULL
Mammalia,Artiodactyla,Suidae,Phacochoerus,africanus,Common warthog / Desert warthog,41768,Phacochoerus africanus,NULL,NULL
Mammalia,Primates,Cercopithecidae,Piliocolobus,rufomitratus,Eastern red colobus / Tana River red colobus,136939,Piliocolobus rufomitratus,NULL,NULL
Mammalia,Primates,Cercopithecidae,Piliocolobus,tephrosceles,Ugandan red colobus,18256,Piliocolobus tephrosceles,NULL,NULL
Mammalia,Chiroptera,Pteropodidae,Pteropus,livingstonii,Livingstone's flying fox,18732,Pteropus livingstonii,NULL,NULL
Mammalia,Chiroptera,Pteropodidae,Pteropus,rodricensis,Rodrigues flying fox,18755,Pteropus rodricensis,NULL,NULL
Mammalia,Chiroptera,Pteropodidae,Pteropus,voeltzkowi,Pemba flying fox,18768,Pteropus voeltzkowi,NULL,NULL
Mammalia,Artiodactyla,Bovidae,Redunca,fulvorufula,Mountain reedbuck / Western mountain reedbuck,19391,Redunca fulvorufula,NULL,NULL
Mammalia,Artiodactyla,Bovidae,Redunca,redunca,Bohar reedbuck / Bohor reedbuck,19392,Redunca redunca,NULL,NULL
Mammalia,Artiodactyla,Bovidae,Sylvicapra,grimmia,Common duiker / Grey duiker,21203,Sylvicapra grimmia,NULL,NULL
Mammalia,Artiodactyla,Bovidae,Syncerus,caffer,African buffalo / Cape buffalo,21251,Syncerus caffer,NULL,NULL
Mammalia,Artiodactyla,Bovidae,Taurotragus,derbianus,Giant eland / Derby's eland,44172,Tragelaphus derbianus,NULL,NULL
Mammalia,Artiodactyla,Bovidae,Taurotragus,oryx,Common eland / Eland,22055,Tragelaphus oryx,NULL,NULL
Mammalia,Artiodactyla,Bovidae,Tragelaphus,angasii,Nyala,22052,Tragelaphus angasii,NULL,NULL
Mammalia,Artiodactyla,Bovidae,Tragelaphus,buxtoni,Mountain nayala,22046,Tragelaphus buxtoni,NULL,NULL
Mammalia,Artiodactyla,Bovidae,Tragelaphus,scriptus,Bushbuck,22051,Tragelaphus scriptus,NULL,NULL
Mammalia,Artiodactyla,Bovidae,Tragelaphus,spekii,Sitatunga,22050,Tragelaphus spekii,NULL,NULL
Mammalia,Artiodactyla,Bovidae,Tragelaphus,strepsiceros,Greater kudu,22054,Tragelaphus strepsiceros,NULL,NULL
Reptilia,Squamata,Bolyeriidae,Casarea,dussumieri,Round Island boa / Round Island keel-scaled boa,3989,Casarea dussumieri,NULL,NULL
Reptilia,Squamata,Scincidae,Leiolopisma,telfairii,Mccann's ground skink / Round Island skink,11409,Leiolopisma telfairii,NULL,NULL
Reptilia,Squamata,Gekkonidae,Nactus,serpensinsula,Serpent Island gecko,14290,Nactus serpensinsula,NULL,NULL
Reptilia,Squamata,Gekkonidae,Phelsuma,guentheri,Round Island day gecko,16926,Phelsuma guentheri,NULL,NULL
Reptilia,Squamata,Gekkonidae,Phelsuma,ornata,Mauritius ornate day gecko / Ornate day gecko,172662,Cnemaspis ornata,NULL,NULL
Reptilia,Squamata,Scincidae,Gongylomorphus,bojerii,Bojer's skink,62251,Gongylomorphus bojerii,NULL,NULL
Aves,Struthioniformes,Apterygidae,Apteryx,australis,Southern brown kiwi,22678122,Apteryx australis,NULL,NULL
Aves,Struthioniformes,Apterygidae,Apteryx,haastii,Great spotted kiwi,22678132,Apteryx haastii,NULL,NULL
Aves,Struthioniformes,Apterygidae,Apteryx,owenii,Little spotted kiwi,22678129,Apteryx owenii,NULL,NULL
Aves,Passeriformes,Callaeidae,Callaeas,cinereus,South Island kokako,103730380,Callaeas cinereus,NULL,NULL
Aves,Psittaciformes,Psittacidae,Cyanoramphus,novaezelandiae,Red-fronted parakeet,22727981,Cyanoramphus novaezelandiae,NULL,NULL
Aves,Psittaciformes,Psittacidae,Lathamus,discolor,Swift parrot,22685219,Lathamus discolor,NULL,NULL
Aves,Psittaciformes,Psittacidae,Neophema,chrysogaster,Orange-bellied parrot,22685203,Neophema chrysogaster,NULL,NULL
Aves,Passeriformes,Psophodidae,Psophodes,nigrogularis,Western whipbird,22705330,Psophodes nigrogularis,NULL,NULL
Mammalia,Diprotodontia,Vombatidae,Lasiorhinus,krefftii,Northern hairy-nosed wombat,11343,Lasiorhinus krefftii,NULL,NULL
Mammalia,Diprotodontia,Macropodidae,Macropus,fuliginosus,Western grey kangaroo,40563,Macropus fuliginosus,NULL,NULL
Mammalia,Diprotodontia,Macropodidae,Macropus,giganteus,Eastern grey kangaroo,41513,Macropus giganteus,NULL,NULL
Mammalia,Peramelemorphia,Peramelidae,Perameles,gunnii,Eastern barred bandicoot,16572,Perameles gunnii,NULL,NULL
Mammalia,Diprotodontia,Macropodidae,Setonix,brachyurus,Quokka,20165,Setonix brachyurus,NULL,NULL
Mammalia,Diprotodontia,Phalangeridae,Trichosurus,vulpecula,Common brush-tailed possum,40585,Trichosurus vulpecula,NULL,NULL
Aves,Passeriformes,Fringillidae,Loxioides,bailleui,Palila,22720742,Loxioides bailleui,NULL,NULL
Aves,Passeriformes,Fringillidae,Telespiza,cantans,Laysan finch,22720728,Telespiza cantans,NULL,NULL
Aves,Psittaciformes,Psittacidae,Vini,ultramarina,Ultramarine lorikeet,22684647,Vini ultramarina,NULL,NULL
Mammalia,Chiroptera,Pteropodidae,Pteropus,mariannus,Mariana fruit bat,18737,Pteropus mariannus,NULL,NULL
Aves,Accipitriformes,Accipitridae,Gyps,bengalensis,White-rumped vulture,22695194,Gyps bengalensis,NULL,NULL
Mammalia,Artiodactyla,Cervidae,Axis,axis,Chital / Axis deer / Indian spotted deer,41783,Axis axis,NULL,NULL
Mammalia,Artiodactyla,Cervidae,Axis,porcinus,Hog deer,41784,Axis porcinus,NULL,NULL
Mammalia,Artiodactyla,Bovidae,Bos,frontalis,Gaur,2891,Bos gaurus,NULL,NULL
Mammalia,Artiodactyla,Bovidae,Boselaphus,tragocamelus,Nilgai,2893,Boselaphus tragocamelus,NULL,NULL
Mammalia,Artiodactyla,Bovidae,Bubalus,bubalis,Asiatic buffalo / Water buffalo,3129,Bubalus arnee,NULL,NULL
Mammalia,Artiodactyla,Cervidae,Rucervus,duvaucelii,Swamp deer,4257,Rucervus duvaucelii,NULL,NULL
Mammalia,Artiodactyla,Cervidae,Cervus,elaphus,Red deer / Elk,55997072,Cervus elaphus,NULL,NULL
Mammalia,Artiodactyla,Cervidae,Rusa,unicolor,Sambar,41790,Rusa unicolor,NULL,NULL
Mammalia,Proboscidea,Elephantidae,Elephas,maximus,Asian elephant,7140,Elephas maximus,NULL,NULL
Mammalia,Perissodactyla,Equidae,Equus,hemionus,Wild ass / Kulan,7951,Equus hemionus,NULL,NULL
Mammalia,Artiodactyla,Bovidae,Gazella,bennettii,Chinkara,8978,Gazella bennettii,NULL,NULL
Mammalia,Artiodactyla,Bovidae,Hemitragus,hylocrius,Nilgiri tahr,9917,Nilgiritragus hylocrius,NULL,NULL
Mammalia,Primates,Cercopithecidae,Macaca,silenus,Lion-tailed macaque,12559,Macaca silenus,NULL,NULL
Mammalia,Artiodactyla,Bovidae,Ovis,ammon,Argali / Kizil-kum sheep,15733,Ovis ammon,NULL,NULL
Mammalia,Artiodactyla,Bovidae,Ovis,aries,Urial,15739,Ovis orientalis,NULL,NULL
Mammalia,Carnivora,Felidae,Panthera,pardus,Leopard,15954,Panthera pardus,NULL,NULL
Mammalia,Carnivora,Felidae,Panthera,tigris,Tiger,15955,Panthera tigris,NULL,NULL
Mammalia,Perissodactyla,Rhinocerotidae,Rhinoceros,sondaicus,Javan rhinoceros,19495,Rhinoceros sondaicus,NULL,NULL
Mammalia,Perissodactyla,Rhinocerotidae,Rhinoceros,unicornis,Greater one-horned rhino,19496,Rhinoceros unicornis,NULL,NULL
Mammalia,Artiodactyla,Bovidae,Tetracerus,quadricornis,Four-horned antelope,21661,Tetracerus quadricornis,NULL,NULL
Mammalia,Primates,Cercopithecidae,Trachypithecus,poliocephalus,Francois leaf monkey,22045,Trachypithecus poliocephalus,NULL,NULL
Mammalia,Primates,Cercopithecidae,Trachypithecus,francoisi,François' langur,39853,Trachypithecus francoisi,NULL,NULL
Aves,Passeriformes,Icteridae,Agelaius,xanthomus,Yellow-shouldered blackbird,22724209,Agelaius xanthomus,NULL,NULL
Aves,Psittaciformes,Psittacidae,Amazona,arausiaca,Red-necked amazon,22686395,Amazona arausiaca,NULL,NULL
Aves,Psittaciformes,Psittacidae,Amazona,leucocephala,Cuban amazon,22686201,Amazona leucocephala,NULL,NULL
Aves,Psittaciformes,Psittacidae,Amazona,barbadensis,Yellow-shouldered amazon,22686325,Amazona barbadensis,NULL,NULL
Aves,Psittaciformes,Psittacidae,Amazona,versicolor,St Lucia amazon,22686387,Amazona versicolor,NULL,NULL
Aves,Psittaciformes,Psittacidae,Amazona,vittata,Puerto rican amazon,22686239,Amazona vittata,NULL,NULL
Aves,Accipitriformes,Accipitridae,Buteo,platypterus,Broad-winged hawk,22695891,Buteo platypterus,NULL,NULL
Mammalia,Artiodactyla,Tayassuidae,Catagonus,wagneri,Chacoan peccary,4015,Catagonus wagneri,NULL,NULL
Mammalia,Artiodactyla,Cervidae,Hippocamelus,bisulcus,South Andean deer / Huemul,10054,Hippocamelus bisulcus,NULL,NULL
Mammalia,Primates,Cebidae,Leontopithecus,chrysomelas,Golden-headed lion tamarin,40643,Leontopithecus chrysomelas,NULL,NULL
Mammalia,Primates,Cebidae,Saimiri,oerstedii,Black-crowned Central American squirrel monkey,19836,Saimiri oerstedii,NULL,NULL
Mammalia,Perissodactyla,Tapiridae,Tapirus,bairdii,Baird's tapir / Central American tapir,21471,Tapirus bairdii,NULL,NULL
Mammalia,Artiodactyla,Camelidae,Vicugna,vicugna,Vicuna,22956,Vicugna vicugna,NULL,NULL
Reptilia,Squamata,Iguanidae,Cyclura,cornuta,Rhinoceros iguana / Mona Island lizard,6042,Cyclura cornuta,NULL,NULL
Reptilia,Squamata,Iguanidae,Cyclura,pinguis,Anegada iguana,6031,Cyclura pinguis,NULL,NULL
Aves,Passeriformes,Fringillidae,Linaria,cannabina,Common linnet,22720441,Linaria cannabina,NULL,NULL
Aves,Accipitriformes,Accipitridae,Accipiter,gentilis,Northern goshawk,22695683,Accipiter gentilis,NULL,NULL
Aves,Accipitriformes,Accipitridae,Accipiter,nisus,Eurasian sparrowhawk,22695624,Accipiter nisus,NULL,NULL
Aves,Passeriformes,Alaudidae,Alauda,arvensis,Eurasian skylark,102998555,Alauda arvensis,NULL,NULL
Aves,Anseriformes,Anatidae,Anser,albifrons,Greater white-fronted goose,22679881,Anser albifrons,NULL,NULL
Aves,Anseriformes,Anatidae,Anser,brachyrhynchus,Pink-footed goose,22679872,Anser brachyrhynchus,NULL,NULL
Aves,Anseriformes,Anatidae,Anser,erythropus,Lesser white-fronted goose,22679886,Anser erythropus,NULL,NULL
Aves,Anseriformes,Anatidae,Anser,fabalis,Bean goose,22679875,Anser fabalis,NULL,NULL
Aves,Passeriformes,Motacillidae,Anthus,trivialis,Tree pipit,22718546,Anthus trivialis,NULL,NULL
Aves,Caprimulgiformes,Apodidae,Apus,apus,Common swift,22686800,Apus apus,NULL,NULL
Aves,Accipitriformes,Accipitridae,Aquila,chrysaetos,Golden eagle,22696060,Aquila chrysaetos,NULL,NULL
Aves,Accipitriformes,Accipitridae,Clanga,pomarina,Lesser spotted eagle,22696022,Clanga pomarina,NULL,NULL
Aves,Anseriformes,Anatidae,Branta,bernicla,Brent goose,22679946,Branta bernicla,NULL,NULL
Aves,Anseriformes,Anatidae,Branta,canadensis,Canada goose,22679935,Branta canadensis,NULL,NULL
Aves,Anseriformes,Anatidae,Branta,leucopsis,Barnacle goose,22679943,Branta leucopsis,NULL,NULL
Aves,Anseriformes,Anatidae,Branta,ruficollis,Red-breasted goose,22679954,Branta ruficollis,NULL,NULL
Aves,Galliformes,Phasianidae,Bonasa,bonasia,Hazel grouse,22679494,Bonasa bonasia,NULL,NULL
Aves,Charadriiformes,Burhinidae,Burhinus,oedicnemus,Eurasian thick-knee / Stone curlew,45111439,Burhinus oedicnemus,NULL,NULL
Aves,Accipitriformes,Accipitridae,Buteo,buteo,Eurasian buzzard,61695117,Buteo buteo,NULL,NULL
Aves,Accipitriformes,Accipitridae,Buteo,lagopus,Rough-legged buzzard,22695973,Buteo lagopus,NULL,NULL
Aves,Charadriiformes,Scolopacidae,Calidris,temminckii,Temminck's stint,22693388,Calidris temminckii,NULL,NULL
Aves,Passeriformes,Fringillidae,Chloris,chloris,European greenfinch,22720330,Chloris chloris,NULL,NULL
Aves,Passeriformes,Fringillidae,Acanthis,flammea,Redpoll,22725044,Acanthis flammea,NULL,NULL
Aves,Passeriformes,Fringillidae,Spinus,spinus,Eurasian siskin,22720354,Spinus spinus,NULL,NULL
Aves,Passeriformes,Certhiidae,Certhia,familiaris,Eurasian treecreeper,22735060,Certhia familiaris,NULL,NULL
Aves,Accipitriformes,Accipitridae,Circus,aeruginosus,Western marsh-harrier,22695344,Circus aeruginosus,NULL,NULL
Aves,Columbiformes,Columbidae,Columba,livia,Rock dove,22690066,Columba livia,NULL,NULL
Aves,Columbiformes,Columbidae,Columba,oenas,Stock dove,22690088,Columba oenas,NULL,NULL
Aves,Columbiformes,Columbidae,Columba,palumbus,Common woodpigeon,22690103,Columba palumbus,NULL,NULL
Aves,Passeriformes,Corvidae,Corvus,corax,Common raven,22706068,Corvus corax,NULL,NULL
Aves,Passeriformes,Corvidae,Corvus,corone,Carrion crow,22706016,Corvus corone,NULL,NULL
Aves,Passeriformes,Corvidae,Corvus,monedula,Eurasian jackdaw,22705929,Corvus monedula,NULL,NULL
Aves,Gruiformes,Rallidae,Crex,crex,Corncrake,22692543,Crex crex,NULL,NULL
Aves,Cuculiformes,Cuculidae,Cuculus,canorus,Common cuckoo,22683873,Cuculus canorus,NULL,NULL
Aves,Passeriformes,Hirundinidae,Delichon,urbicum,Northern house martin,103811886,Delichon urbicum,NULL,NULL
Aves,Piciformes,Picidae,Dendrocopos,leucotos,White-backed woodpecker,22727124,Dendrocopos leucotos,NULL,NULL
Aves,Piciformes,Picidae,Dendrocopos,major,Great spotted woodpecker,22681124,Dendrocopos major,NULL,NULL
Aves,Piciformes,Picidae,Dryocopus,martius,Black woodpecker,22681382,Dryocopus martius,NULL,NULL
Aves,Passeriformes,Emberizidae,Emberiza,cirlus,Cirl bunting,22720888,Emberiza cirlus,NULL,NULL
Aves,Passeriformes,Emberizidae,Emberiza,schoeniclus,Reed bunting,22721012,Emberiza schoeniclus,NULL,NULL
Aves,Passeriformes,Emberizidae,Emberiza,citrinella,Yellowhammer,22720878,Emberiza citrinella,NULL,NULL
Aves,Passeriformes,Muscicapidae,Erithacus,rubecula,European robin,22709675,Erithacus rubecula,NULL,NULL
Aves,Falconiformes,Falconidae,Falco,peregrinus,Peregrine falcon,45354964,Falco peregrinus,NULL,NULL
Aves,Falconiformes,Falconidae,Falco,subbuteo,Eurasian hobby,22696460,Falco subbuteo,NULL,NULL
Aves,Falconiformes,Falconidae,Falco,tinnunculus,Common kestrel,22696362,Falco tinnunculus,NULL,NULL
Aves,Passeriformes,Muscicapidae,Ficedula,hypoleuca,European pied flycatcher,22709308,Ficedula hypoleuca,NULL,NULL
Aves,Passeriformes,Fringillidae,Fringilla,coelebs,Common chaffinch,22720030,Fringilla coelebs,NULL,NULL
Aves,Passeriformes,Fringillidae,Fringilla,montifringilla,Brambling,22720041,Fringilla montifringilla,NULL,NULL
Aves,Passeriformes,Corvidae,Garrulus,glandarius,Eurasian jay,103723684,Garrulus glandarius,NULL,NULL
Aves,Pelecaniformes,Threskiornithidae,Geronticus,eremita,Northern bald ibis,22697488,Geronticus eremita,NULL,NULL
Aves,Accipitriformes,Accipitridae,Aquila,fasciata,Bonelli's eagle,22696076,Aquila fasciata,NULL,NULL
Aves,Passeriformes,Acrocephalidae,Hippolais,icterina,Icterine warbler,22714916,Hippolais icterina,NULL,NULL
Aves,Passeriformes,Hirundinidae,Hirundo,rustica,Barn swallow,22712252,Hirundo rustica,NULL,NULL
Aves,Piciformes,Picidae,Jynx,torquilla,Eurasian wryneck,22680683,Jynx torquilla,NULL,NULL
Aves,Galliformes,Phasianidae,Lagopus,lagopus,Willow grouse,22679460,Lagopus lagopus,NULL,NULL
Aves,Passeriformes,Laniidae,Lanius,collurio,Red-backed shrike,22705001,Lanius collurio,NULL,NULL
Aves,Passeriformes,Alaudidae,Lullula,arborea,Woodlark,22717411,Lullula arborea,NULL,NULL
Aves,Passeriformes,Muscicapidae,Luscinia,luscinia,Thrush nightingale,22709691,Luscinia luscinia,NULL,NULL
Aves,Galliformes,Phasianidae,Lyrurus,tetrix,Black grouse,22679480,Lyrurus tetrix,NULL,NULL
Aves,Passeriformes,Emberizidae,Emberiza,calandra,Corn bunting,22721020,Emberiza calandra,NULL,NULL
Aves,Accipitriformes,Accipitridae,Milvus,milvus,Red kite,22695072,Milvus milvus,NULL,NULL
Aves,Passeriformes,Motacillidae,Motacilla,alba,White wagtail,22718348,Motacilla alba,NULL,NULL
Aves,Passeriformes,Muscicapidae,Muscicapa,striata,Spotted flycatcher,22709192,Muscicapa striata,NULL,NULL
Aves,Accipitriformes,Accipitridae,Neophron,percnopterus,Egyptian vulture,22695180,Neophron percnopterus,NULL,NULL
Aves,Passeriformes,Corvidae,Nucifraga,caryocatactes,Northern nutcracker,103727252,Nucifraga caryocatactes,NULL,NULL
Aves,Charadriiformes,Scolopacidae,Numenius,arquata,Eurasian curlew,22693190,Numenius arquata,NULL,NULL
Aves,Charadriiformes,Scolopacidae,Numenius,phaeopus,Whimbrel,22693178,Numenius phaeopus,NULL,NULL
Aves,Passeriformes,Muscicapidae,Oenanthe,oenanthe,Northern wheatear,103773898,Oenanthe oenanthe,NULL,NULL
Aves,Otidiformes,Otididae,Otis,tarda,Great bustard,22691900,Otis tarda,NULL,NULL
Aves,Passeriformes,Paridae,Periparus,ater,Coal tit,22735965,Periparus ater,NULL,NULL
Aves,Passeriformes,Paridae,Cyanistes,caeruleus,Eurasian blue tit,103761667,Cyanistes caeruleus,NULL,NULL
Aves,Passeriformes,Paridae,Lophophanes,cristatus,Crested tit,22711810,Lophophanes cristatus,NULL,NULL
Aves,Passeriformes,Paridae,Parus,major,Great tit,22735990,Parus major,NULL,NULL
Aves,Passeriformes,Paridae,Poecile,montanus,Willow tit,22711703,Poecile montanus,NULL,NULL
Aves,Passeriformes,Paridae,Poecile,palustris,Marsh tit,22735995,Poecile palustris,NULL,NULL
Aves,Passeriformes,Passeridae,Passer,domesticus,House sparrow,103818789,Passer domesticus,NULL,NULL
Aves,Passeriformes,Passeridae,Passer,montanus,Eurasian tree sparrow,22718270,Passer montanus,NULL,NULL
Aves,Galliformes,Phasianidae,Perdix,perdix,Grey partridge,22678911,Perdix perdix,NULL,NULL
Aves,Galliformes,Phasianidae,Phasianus,colchicus,Common pheasant,45100023,Phasianus colchicus,NULL,NULL
Aves,Passeriformes,Muscicapidae,Phoenicurus,phoenicurus,Common redstart,22710055,Phoenicurus phoenicurus,NULL,NULL
Aves,Passeriformes,Phylloscopidae,Phylloscopus,collybita,Common chiffchaff,103843725,Phylloscopus collybita,NULL,NULL
Aves,Passeriformes,Phylloscopidae,Phylloscopus,sibilatrix,Wood warbler,22715260,Phylloscopus sibilatrix,NULL,NULL
Aves,Passeriformes,Phylloscopidae,Phylloscopus,trochiloides,Greenish warbler,103845399,Phylloscopus trochiloides,NULL,NULL
Aves,Passeriformes,Phylloscopidae,Phylloscopus,trochilus,Willow warbler,22715240,Phylloscopus trochilus,NULL,NULL
Aves,Passeriformes,Corvidae,Pica,pica,Eurasian magpie,103727048,Pica pica,NULL,NULL
Aves,Piciformes,Picidae,Picus,viridis,Eurasian green woodpecker,22725022,Picus viridis,NULL,NULL
Aves,Charadriiformes,Charadriidae,Pluvialis,apricaria,Eurasian golden plover,22693727,Pluvialis apricaria,NULL,NULL
Aves,Passeriformes,Prunellidae,Prunella,modularis,Dunnock,22718651,Prunella modularis,NULL,NULL
Aves,Passeriformes,Fringillidae,Pyrrhula,pyrrhula,Eurasian bullfinch,22720671,Pyrrhula pyrrhula,NULL,NULL
Aves,Passeriformes,Regulidae,Regulus,regulus,Goldcrest,22734997,Regulus regulus,NULL,NULL
Aves,Passeriformes,Muscicapidae,Saxicola,rubetra,Whinchat,22710156,Saxicola rubetra,NULL,NULL
Aves,Charadriiformes,Scolopacidae,Scolopax,rusticola,Eurasian woodcock,22693052,Scolopax rusticola,NULL,NULL
Aves,Passeriformes,Sittidae,Sitta,europaea,Eurasian nuthatch,103879804,Sitta europaea,NULL,NULL
Aves,Charadriiformes,Stercorariidae,Stercorarius,longicaudus,Long-tailed jaeger / Long-tailed skua,22694251,Stercorarius longicaudus,NULL,NULL
Aves,Columbiformes,Columbidae,Streptopelia,turtur,European turtle-dove,22690419,Streptopelia turtur,NULL,NULL
Aves,Strigiformes,Strigidae,Strix,aluco,Tawny owl,22725469,Strix aluco,NULL,NULL
Aves,Strigiformes,Strigidae,Strix,uralensis,Ural owl,22689108,Strix uralensis,NULL,NULL
Aves,Passeriformes,Sturnidae,Sturnus,vulgaris,Common starling,22710886,Sturnus vulgaris,NULL,NULL
Aves,Passeriformes,Sylviidae,Sylvia,atricapilla,Eurasian blackcap,22716901,Sylvia atricapilla,NULL,NULL
Aves,Passeriformes,Sylviidae,Sylvia,communis,Common whitethroat,22716910,Sylvia communis,NULL,NULL
