Scientific name,Common name,Overall category,Category triggered by rate of population reduction (Criterion A),Optimistic decline10years,Pessimistic decline10years,Median decline10years,Optimistic category10years,Pessimistic category10years,Median category10years,Revised optimistic category10years,Revised pessimistic category10years,Revised median category10years,Optimistic decline3gens,Pessimistic decline3gens,Median decline3gens,Revised optimistic category3gens,Revised pessimistic category3gens,Revised median category3gens,Optimistic category3gens,Pessimistic category3gens,Median category3gens
Struthio camelus,Common Ostrich,LC,LC,0,0.04,0.02,LC,LC,LC,LC,LC,LC,0.01,0.17,0.09,LC,LC,LC,LC,LC,LC
Struthio molybdophanes,Somali Ostrich,VU,VU,0.07,0.16,0.11,LC,LC,LC,LC,LC,LC,0.26,0.45,0.36,NT,VU,VU,NT,VU,VU
Rhea americana,Greater Rhea,NT,NT,0.07,0.11,0.09,LC,LC,LC,LC,LC,LC,0.21,0.31,0.26,LC,VU,NT,LC,VU,NT
Rhea pennata,Lesser Rhea,LC,LC,0.07,0.11,0.09,LC,LC,LC,LC,LC,LC,0.17,0.26,0.21,LC,NT,LC,LC,NT,LC
Rhea tarapacensis,Puna Rhea,NT,NT,0.07,0.11,0.09,LC,LC,LC,LC,LC,LC,0.24,0.35,0.3,LC,VU,NT,LC,VU,NT
Nothocercus julius,Tawny-breasted Tinamou,LC,LC,0,0.1,0.05,LC,LC,LC,LC,LC,LC,0.01,0.18,0.09,LC,LC,LC,LC,LC,LC
Nothocercus bonapartei,Highland Tinamou,LC,LC,0,0.1,0.05,LC,LC,LC,LC,LC,LC,0.01,0.14,0.07,LC,LC,LC,LC,LC,LC
Nothocercus nigrocapillus,Hooded Tinamou,VU,VU,0.16,0.32,0.24,LC,VU,LC,LC,VU,LC,0.22,0.41,0.32,LC,VU,VU,LC,VU,VU
Tinamus tao,Grey Tinamou,VU,VU,0.16,0.32,0.24,LC,VU,LC,LC,VU,LC,0.26,0.45,0.36,NT,VU,VU,NT,VU,VU
Tinamus solitarius,Solitary Tinamou,NT,NT,0.1,0.17,0.14,LC,LC,LC,LC,LC,LC,0.13,0.2,0.17,LC,LC,LC,LC,LC,LC
Tinamus osgoodi,Black Tinamou,VU,VU,0.16,0.32,0.24,LC,VU,LC,LC,VU,LC,0.34,0.55,0.45,VU,EN,VU,VU,EN,VU
Tinamus major,Great Tinamou,NT,NT,0.13,0.17,0.15,LC,LC,LC,LC,LC,LC,0.22,0.26,0.24,LC,NT,LC,LC,NT,LC
Tinamus guttatus,White-throated Tinamou,NT,NT,0.13,0.17,0.16,LC,LC,LC,LC,LC,LC,0.18,0.23,0.21,LC,LC,LC,LC,LC,LC
Crypturellus berlepschi,Berlepsch's Tinamou,LC,LC,0,0.1,0.05,LC,LC,LC,LC,LC,LC,0.01,0.17,0.09,LC,LC,LC,LC,LC,LC
Crypturellus cinereus,Cinereous Tinamou,LC,LC,0,0.14,0.07,LC,LC,LC,LC,LC,LC,0.01,0.23,0.12,LC,LC,LC,LC,LC,LC
Crypturellus ptaritepui,Tepui Tinamou,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Crypturellus soui,Little Tinamou,LC,LC,0,0.14,0.07,LC,LC,LC,LC,LC,LC,0.01,0.2,0.1,LC,LC,LC,LC,LC,LC
Crypturellus obsoletus,Brown Tinamou,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Crypturellus undulatus,Undulated Tinamou,LC,LC,0,0.14,0.07,LC,LC,LC,LC,LC,LC,0.01,0.19,0.09,LC,LC,LC,LC,LC,LC
Crypturellus strigulosus,Brazilian Tinamou,LC,LC,0,0.14,0.07,LC,LC,LC,LC,LC,LC,0.01,0.2,0.1,LC,LC,LC,LC,LC,LC
Crypturellus duidae,Grey-legged Tinamou,NT,NT,0.13,0.17,0.16,LC,LC,LC,LC,LC,LC,0.21,0.26,0.24,LC,NT,LC,LC,NT,LC
Crypturellus erythropus,Red-legged Tinamou,LC,LC,0,0.14,0.07,LC,LC,LC,LC,LC,LC,0.01,0.22,0.11,LC,LC,LC,LC,LC,LC
Crypturellus noctivagus,Yellow-legged Tinamou,NT,NT,0.1,0.17,0.14,LC,LC,LC,LC,LC,LC,0.15,0.23,0.19,LC,LC,LC,LC,LC,LC
Crypturellus atrocapillus,Black-capped Tinamou,NT,NT,0.13,0.17,0.16,LC,LC,LC,LC,LC,LC,0.21,0.26,0.24,LC,NT,LC,LC,NT,LC
Crypturellus occidentalis,Western Thicket Tinamou,LC,LC,0,0.1,0.05,LC,LC,LC,LC,LC,LC,0.01,0.22,0.12,LC,LC,LC,LC,LC,LC
Crypturellus cinnamomeus,Eastern Thicket Tinamou,LC,LC,0,0.1,0.05,LC,LC,LC,LC,LC,LC,0.01,0.16,0.08,LC,LC,LC,LC,LC,LC
Crypturellus transfasciatus,Pale-browed Tinamou,NT,NT,0.1,0.17,0.14,LC,LC,LC,LC,LC,LC,0.14,0.22,0.18,LC,LC,LC,LC,LC,LC
Crypturellus boucardi,Slaty-breasted Tinamou,LC,LC,0,0.1,0.05,LC,LC,LC,LC,LC,LC,0.01,0.14,0.07,LC,LC,LC,LC,LC,LC
Crypturellus kerriae,Choco Tinamou,VU,LC,0,0.05,0.03,LC,LC,LC,VU,VU,VU,0.01,0.07,0.04,LC,LC,LC,VU,VU,VU
Crypturellus variegatus,Variegated Tinamou,LC,LC,0,0.14,0.07,LC,LC,LC,LC,LC,LC,0.01,0.24,0.12,LC,LC,LC,LC,LC,LC
Crypturellus brevirostris,Rusty Tinamou,LC,LC,0,0.14,0.07,LC,LC,LC,LC,LC,LC,0.01,0.21,0.11,LC,LC,LC,LC,LC,LC
Crypturellus bartletti,Bartlett's Tinamou,LC,LC,0,0.14,0.07,LC,LC,LC,LC,LC,LC,0.01,0.19,0.1,LC,LC,LC,LC,LC,LC
Crypturellus casiquiare,Barred Tinamou,LC,LC,0,0.14,0.07,LC,LC,LC,LC,LC,LC,0.01,0.21,0.11,LC,LC,LC,LC,LC,LC
Crypturellus parvirostris,Small-billed Tinamou,LC,LC,0,0.1,0.05,LC,LC,LC,LC,LC,LC,0.01,0.12,0.06,LC,LC,LC,LC,LC,LC
Crypturellus tataupa,Tataupa Tinamou,LC,LC,0,0.1,0.05,LC,LC,LC,LC,LC,LC,0.01,0.12,0.06,LC,LC,LC,LC,LC,LC
Rhynchotus rufescens,Red-winged Tinamou,LC,LC,0,0.1,0.05,LC,LC,LC,LC,LC,LC,0.01,0.19,0.1,LC,LC,LC,LC,LC,LC
Rhynchotus maculicollis,Huayco Tinamou,LC,LC,0,0.1,0.05,LC,LC,LC,LC,LC,LC,0.01,0.18,0.09,LC,LC,LC,LC,LC,LC
Nothoprocta taczanowskii,Taczanowski's Tinamou,VU,LC,0,0.05,0.03,LC,LC,LC,VU,VU,VU,0.01,0.08,0.04,LC,LC,LC,VU,VU,VU
Nothoprocta ornata,Ornate Tinamou,LC,LC,0,0.1,0.05,LC,LC,LC,LC,LC,LC,0.01,0.13,0.07,LC,LC,LC,LC,LC,LC
Nothoprocta perdicaria,Chilean Tinamou,LC,LC,0,0.1,0.05,LC,LC,LC,LC,LC,LC,0.01,0.13,0.06,LC,LC,LC,LC,LC,LC
Nothoprocta cinerascens,Brushland Tinamou,LC,LC,0,0.1,0.05,LC,LC,LC,LC,LC,LC,0,0.1,0.05,LC,LC,LC,LC,LC,LC
Nothoprocta pentlandii,Andean Tinamou,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Nothoprocta curvirostris,Curve-billed Tinamou,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Nothura boraquira,White-bellied Nothura,LC,LC,0,0.1,0.05,LC,LC,LC,LC,LC,LC,0.01,0.11,0.05,LC,LC,LC,LC,LC,LC
Nothura minor,Lesser Nothura,VU,LC,0.05,0.1,0.08,LC,LC,LC,VU,VU,VU,0.05,0.1,0.08,LC,LC,LC,VU,VU,VU
Nothura darwinii,Darwin's Nothura,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Nothura maculosa,Spotted Nothura,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Nothura chacoensis,Chaco Nothura,LC,LC,0,0.1,0.05,LC,LC,LC,LC,LC,LC,0.01,0.11,0.05,LC,LC,LC,LC,LC,LC
Taoniscus nanus,Dwarf Tinamou,EN,LC,0.16,0.32,0.24,LC,VU,LC,EN,EN,EN,0.16,0.32,0.25,LC,VU,LC,EN,EN,EN
Eudromia elegans,Elegant Crested Tinamou,LC,LC,0,0.1,0.05,LC,LC,LC,LC,LC,LC,0.01,0.15,0.08,LC,LC,LC,LC,LC,LC
Eudromia formosa,Quebracho Crested Tinamou,LC,LC,0,0.1,0.05,LC,LC,LC,LC,LC,LC,0.01,0.15,0.08,LC,LC,LC,LC,LC,LC
Tinamotis pentlandii,Puna Tinamou,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Tinamotis ingoufi,Patagonian Tinamou,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Casuarius casuarius,Southern Cassowary,LC,LC,0,0.03,0.02,LC,LC,LC,LC,LC,LC,0.01,0.1,0.05,LC,LC,LC,LC,LC,LC
Casuarius bennetti,Dwarf Cassowary,LC,LC,0,0.06,0.03,LC,LC,LC,LC,LC,LC,0.01,0.19,0.1,LC,LC,LC,LC,LC,LC
Casuarius unappendiculatus,Northern Cassowary,LC,LC,0,0.04,0.02,LC,LC,LC,LC,LC,LC,0.01,0.13,0.07,LC,LC,LC,LC,LC,LC
Dromaius novaehollandiae,Common Emu,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Dromaius minor,King Island Emu,EX,LC,0,0,0,EX,EX,EX,EX,EX,EX,0,0,0,LC,LC,LC,EX,EX,EX
Dromaius baudinianus,Kangaroo Island Emu,EX,LC,0,0,0,EX,EX,EX,EX,EX,EX,0,0,0,LC,LC,LC,EX,EX,EX
Apteryx haastii,Great Spotted Kiwi,VU,VU,0.06,0.14,0.1,LC,LC,LC,LC,LC,LC,0.15,0.31,0.23,LC,VU,LC,LC,VU,LC
Apteryx owenii,Little Spotted Kiwi,NT,LC,0,0,0,LC,LC,LC,NT,NT,NT,0,0,0,LC,LC,LC,NT,NT,NT
Apteryx mantelli,Northern Brown Kiwi,VU,VU,0.13,0.27,0.2,LC,NT,LC,LC,NT,LC,0.29,0.48,0.39,NT,VU,VU,NT,VU,VU
Apteryx australis,Southern Brown Kiwi,VU,VU,0.06,0.14,0.1,LC,LC,LC,LC,LC,LC,0.16,0.32,0.24,LC,VU,LC,LC,VU,LC
Apteryx rowi,Okarito Kiwi,VU,LC,0,0,0,LC,LC,LC,VU,VU,VU,0,0,0,LC,LC,LC,VU,VU,VU
Alectura lathami,Australian Brush-turkey,LC,LC,0,0.05,0.03,LC,LC,LC,LC,LC,LC,0,0.1,0.05,LC,LC,LC,LC,LC,LC
Aepypodius arfakianus,Wattled Brush-turkey,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Aepypodius bruijnii,Waigeo Brush-turkey,EN,LC,0,0.05,0.03,LC,LC,LC,EN,EN,EN,0,0.07,0.04,LC,LC,LC,EN,EN,EN
Talegalla cuvieri,Red-billed Brush-turkey,LC,LC,0,0.05,0.03,LC,LC,LC,LC,LC,LC,0.01,0.11,0.06,LC,LC,LC,LC,LC,LC
Talegalla fuscirostris,Black-billed Brush-turkey,LC,LC,0,0.05,0.03,LC,LC,LC,LC,LC,LC,0.01,0.11,0.06,LC,LC,LC,LC,LC,LC
Talegalla jobiensis,Collared Brush-turkey,LC,LC,0,0.05,0.03,LC,LC,LC,LC,LC,LC,0.01,0.11,0.06,LC,LC,LC,LC,LC,LC
Leipoa ocellata,Malleefowl,VU,VU,0.07,0.16,0.11,LC,LC,LC,LC,LC,LC,0.18,0.35,0.27,LC,VU,NT,LC,VU,NT
Macrocephalon maleo,Maleo,EN,EN,0.13,0.44,0.27,LC,VU,NT,VU,VU,VU,0.34,0.69,0.52,VU,EN,EN,VU,EN,EN
Eulipoa wallacei,Moluccan Scrubfowl,VU,VU,0.26,0.44,0.35,NT,VU,VU,NT,VU,VU,0.43,0.69,0.58,VU,EN,EN,VU,EN,EN
Megapodius nicobariensis,Nicobar Scrubfowl,VU,LC,0.01,0.16,0.08,LC,LC,LC,VU,VU,VU,0.01,0.23,0.12,LC,LC,LC,VU,VU,VU
Megapodius cumingii,Philippine Scrubfowl,LC,LC,0.01,0.16,0.08,LC,LC,LC,LC,LC,LC,0.01,0.27,0.14,LC,NT,LC,LC,NT,LC
Megapodius bernsteinii,Sula Scrubfowl,VU,VU,0.26,0.44,0.35,NT,VU,VU,NT,VU,VU,0.44,0.71,0.61,VU,EN,EN,VU,EN,EN
Megapodius tenimberensis,Tanimbar Scrubfowl,NT,LC,0.17,0.17,0.17,LC,LC,LC,NT,NT,NT,0.22,0.22,0.22,LC,LC,LC,LC,LC,LC
Megapodius layardi,Vanuatu Scrubfowl,VU,LC,0.08,0.16,0.12,LC,LC,LC,VU,VU,VU,0.12,0.22,0.17,LC,LC,LC,VU,VU,VU
Megapodius laperouse,Micronesian Scrubfowl,EN,LC,0.01,0.16,0.08,LC,LC,LC,EN,EN,EN,0.01,0.22,0.12,LC,LC,LC,EN,EN,EN
Megapodius pritchardii,Tongan Scrubfowl,EN,LC,0.01,0.16,0.08,LC,LC,LC,EN,EN,EN,0.01,0.22,0.11,LC,LC,LC,EN,EN,EN
Megapodius freycinet,Dusky Scrubfowl,LC,LC,0.01,0.16,0.08,LC,LC,LC,LC,LC,LC,0.01,0.21,0.11,LC,LC,LC,LC,LC,LC
Megapodius geelvinkianus,Biak Scrubfowl,VU,LC,0.08,0.16,0.12,LC,LC,LC,VU,VU,VU,0.12,0.22,0.17,LC,LC,LC,VU,VU,VU
Megapodius decollatus,New Guinea Scrubfowl,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Megapodius eremita,Melanesian Scrubfowl,LC,LC,0.01,0.16,0.08,LC,LC,LC,LC,LC,LC,0.01,0.26,0.14,LC,NT,LC,LC,NT,LC
Megapodius reinwardt,Orange-footed Scrubfowl,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Chamaepetes unicolor,Black Guan,LC,LC,0.01,0.12,0.06,LC,LC,LC,LC,LC,LC,0.01,0.23,0.12,LC,LC,LC,LC,LC,LC
Chamaepetes goudotii,Sickle-winged Guan,LC,LC,0.01,0.12,0.06,LC,LC,LC,LC,LC,LC,0.01,0.21,0.11,LC,LC,LC,LC,LC,LC
Penelopina nigra,Highland Guan,VU,VU,0.19,0.36,0.28,LC,VU,NT,LC,VU,NT,0.35,0.56,0.46,VU,EN,VU,VU,EN,VU
Penelope argyrotis,Band-tailed Guan,LC,LC,0.01,0.12,0.06,LC,LC,LC,LC,LC,LC,0.01,0.2,0.11,LC,LC,LC,LC,LC,LC
Penelope barbata,Bearded Guan,NT,LC,0.01,0.05,0.03,LC,LC,LC,NT,NT,NT,0.01,0.11,0.06,LC,LC,LC,NT,NT,NT
Penelope ortoni,Baudo Guan,EN,EN,0.33,0.69,0.52,VU,EN,EN,VU,EN,EN,0.55,0.85,0.71,EN,CR,EN,EN,CR,EN
Penelope montagnii,Andean Guan,LC,LC,0.01,0.12,0.06,LC,LC,LC,LC,LC,LC,0.01,0.21,0.11,LC,LC,LC,LC,LC,LC
Penelope marail,Marail Guan,LC,LC,0.01,0.16,0.08,LC,LC,LC,LC,LC,LC,0.01,0.27,0.14,LC,NT,LC,LC,NT,LC
Penelope superciliaris,Rusty-margined Guan,LC,LC,0.01,0.12,0.06,LC,LC,LC,LC,LC,LC,0.01,0.2,0.1,LC,LC,LC,LC,LC,LC
Penelope dabbenei,Red-faced Guan,LC,LC,0.01,0.12,0.06,LC,LC,LC,LC,LC,LC,0.01,0.21,0.11,LC,LC,LC,LC,LC,LC
Penelope jacquacu,Spix's Guan,LC,LC,0.01,0.16,0.08,LC,LC,LC,LC,LC,LC,0.01,0.31,0.17,LC,VU,LC,LC,VU,LC
Penelope purpurascens,Crested Guan,LC,LC,0.01,0.12,0.06,LC,LC,LC,LC,LC,LC,0.01,0.25,0.13,LC,LC,LC,LC,LC,LC
Penelope perspicax,Cauca Guan,EN,LC,0.01,0.05,0.03,LC,LC,LC,EN,EN,EN,0.01,0.11,0.06,LC,LC,LC,EN,EN,EN
Penelope albipennis,White-winged Guan,EN,LC,0,0,0,LC,LC,LC,EN,EN,EN,0,0,0,LC,LC,LC,EN,EN,EN
Penelope obscura,Dusky-legged Guan,LC,LC,0.01,0.12,0.06,LC,LC,LC,LC,LC,LC,0.01,0.25,0.13,LC,LC,LC,LC,LC,LC
Penelope pileata,White-crested Guan,VU,VU,0.19,0.36,0.28,LC,VU,NT,LC,VU,NT,0.31,0.51,0.41,VU,EN,VU,VU,EN,VU
Penelope ochrogaster,Chestnut-bellied Guan,VU,LC,0.01,0.12,0.06,LC,LC,LC,VU,VU,VU,0.01,0.23,0.12,LC,LC,LC,VU,VU,VU
Penelope jacucaca,White-browed Guan,VU,VU,0.19,0.36,0.28,LC,VU,NT,LC,VU,NT,0.34,0.56,0.46,VU,EN,VU,VU,EN,VU
Pipile pipile,Trinidad Piping-guan,CR,LC,0.01,0.12,0.06,LC,LC,LC,CR,CR,CR,0.01,0.26,0.14,LC,NT,LC,CR,CR,CR
Pipile cumanensis,Blue-throated Piping-guan,LC,LC,0.01,0.12,0.06,LC,LC,LC,LC,LC,LC,0.01,0.22,0.12,LC,LC,LC,LC,LC,LC
Pipile grayi,White-throated Piping-guan,NT,NT,0.15,0.19,0.18,LC,LC,LC,LC,LC,LC,0.15,0.19,0.18,LC,LC,LC,LC,LC,LC
Pipile cujubi,Red-throated Piping-guan,LC,LC,0.01,0.12,0.06,LC,LC,LC,LC,LC,LC,0.01,0.23,0.12,LC,LC,LC,LC,LC,LC
Pipile jacutinga,Black-fronted Piping-guan,EN,EN,0.33,0.69,0.52,VU,EN,EN,VU,EN,EN,0.56,0.87,0.74,EN,CR,EN,EN,CR,EN
Aburria aburri,Wattled Guan,NT,LC,0.01,0.05,0.03,LC,LC,LC,NT,NT,NT,0.01,0.12,0.06,LC,LC,LC,NT,NT,NT
Oreophasis derbianus,Horned Guan,EN,LC,0.01,0.05,0.03,LC,LC,LC,EN,EN,EN,0.02,0.14,0.08,LC,LC,LC,EN,EN,EN
Ortalis vetula,Plain Chachalaca,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Ortalis cinereiceps,Grey-headed Chachalaca,LC,LC,0.01,0.12,0.06,LC,LC,LC,LC,LC,LC,0.01,0.15,0.08,LC,LC,LC,LC,LC,LC
Ortalis garrula,Chestnut-winged Chachalaca,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Ortalis ruficauda,Rufous-vented Chachalaca,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Ortalis erythroptera,Rufous-headed Chachalaca,VU,LC,0.01,0.12,0.06,LC,LC,LC,VU,VU,VU,0.01,0.16,0.08,LC,LC,LC,VU,VU,VU
Ortalis wagleri,Rufous-bellied Chachalaca,LC,LC,0.01,0.12,0.06,LC,LC,LC,LC,LC,LC,0.01,0.17,0.09,LC,LC,LC,LC,LC,LC
Ortalis poliocephala,West Mexican Chachalaca,LC,LC,0.01,0.12,0.06,LC,LC,LC,LC,LC,LC,0.01,0.14,0.07,LC,LC,LC,LC,LC,LC
Ortalis canicollis,Chaco Chachalaca,LC,LC,0.01,0.12,0.06,LC,LC,LC,LC,LC,LC,0.01,0.16,0.08,LC,LC,LC,LC,LC,LC
Ortalis leucogastra,White-bellied Chachalaca,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Ortalis columbiana,Colombian Chachalaca,LC,LC,0.01,0.12,0.06,LC,LC,LC,LC,LC,LC,0.01,0.13,0.07,LC,LC,LC,LC,LC,LC
Ortalis guttata,Speckled Chachalaca,LC,LC,0.01,0.12,0.06,LC,LC,LC,LC,LC,LC,0.01,0.15,0.08,LC,LC,LC,LC,LC,LC
Ortalis araucuan,East Brazilian Chachalaca,LC,LC,0.01,0.12,0.06,LC,LC,LC,LC,LC,LC,0.01,0.13,0.07,LC,LC,LC,LC,LC,LC
Ortalis squamata,Scaled Chachalaca,LC,LC,0.01,0.12,0.06,LC,LC,LC,LC,LC,LC,0.01,0.13,0.07,LC,LC,LC,LC,LC,LC
Ortalis motmot,Little Chachalaca,LC,LC,0.01,0.16,0.08,LC,LC,LC,LC,LC,LC,0.01,0.2,0.1,LC,LC,LC,LC,LC,LC
Ortalis superciliaris,Buff-browed Chachalaca,LC,LC,0.01,0.12,0.06,LC,LC,LC,LC,LC,LC,0.01,0.16,0.08,LC,LC,LC,LC,LC,LC
Nothocrax urumutum,Nocturnal Curassow,LC,LC,0,0.12,0.06,LC,LC,LC,LC,LC,LC,0.01,0.24,0.12,LC,LC,LC,LC,LC,LC
Crax rubra,Great Curassow,VU,VU,0.1,0.22,0.16,LC,LC,LC,LC,LC,LC,0.24,0.42,0.33,LC,VU,VU,LC,VU,VU
Crax alberti,Blue-billed Curassow,CR,CR,0.37,1,0.72,VU,CR,EN,EN,CR,EN,0.65,1,0.86,EN,CR,CR,EN,CR,CR
Crax daubentoni,Yellow-knobbed Curassow,NT,LC,0,0.03,0.02,LC,LC,LC,NT,NT,NT,0.01,0.06,0.03,LC,LC,LC,NT,NT,NT
Crax alector,Black Curassow,VU,VU,0.1,0.22,0.16,LC,LC,LC,LC,LC,LC,0.22,0.4,0.31,LC,VU,VU,LC,VU,VU
Crax fasciolata,Bare-faced Curassow,VU,VU,0,0.11,0.05,LC,LC,LC,LC,LC,LC,0.01,0.23,0.11,LC,LC,LC,LC,LC,LC
Crax pinima,Belem Curassow,CR,LC,0,0.06,0.03,LC,LC,LC,CR,CR,CR,0.01,0.11,0.05,LC,LC,LC,CR,CR,CR
Crax globulosa,Wattled Curassow,EN,EN,0.18,0.52,0.34,LC,EN,VU,EN,EN,EN,0.39,0.73,0.56,VU,EN,EN,EN,EN,EN
Crax blumenbachii,Red-billed Curassow,EN,LC,0,0.03,0.02,LC,LC,LC,EN,EN,EN,0.01,0.07,0.04,LC,LC,LC,EN,EN,EN
Mitu tomentosum,Crestless Curassow,NT,NT,0.1,0.13,0.11,LC,LC,LC,LC,LC,LC,0.21,0.25,0.23,LC,LC,LC,LC,LC,LC
Mitu mitu,Alagoas Curassow,EW,LC,0,0,0,EW,EW,EW,EW,EW,EW,0,0,0,LC,LC,LC,EW,EW,EW
Mitu tuberosum,Razor-billed Curassow,LC,LC,0,0.09,0.04,LC,LC,LC,LC,LC,LC,0.01,0.18,0.09,LC,LC,LC,LC,LC,LC
Mitu salvini,Salvin's Curassow,LC,LC,0,0.1,0.05,LC,LC,LC,LC,LC,LC,0.01,0.21,0.11,LC,LC,LC,LC,LC,LC
Pauxi unicornis,Horned Curassow,CR,CR,0.31,1,0.67,VU,CR,EN,VU,CR,EN,0.7,1,0.87,EN,CR,CR,EN,CR,CR
Pauxi koepckeae,Sira Curassow,CR,LC,0.15,0.46,0.29,LC,VU,NT,CR,CR,CR,0.15,0.46,0.29,LC,VU,NT,CR,CR,CR
Pauxi pauxi,Helmeted Curassow,EN,LC,0.03,0.05,0.04,LC,LC,LC,EN,EN,EN,0.07,0.14,0.1,LC,LC,LC,EN,EN,EN
Numida meleagris,Helmeted Guineafowl,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Agelastes meleagrides,White-breasted Guineafowl,VU,VU,0.26,0.45,0.36,NT,VU,VU,NT,VU,VU,0.26,0.45,0.36,NT,VU,VU,NT,VU,VU
Agelastes niger,Black Guineafowl,LC,LC,0.01,0.17,0.09,LC,LC,LC,LC,LC,LC,0.02,0.28,0.15,LC,NT,LC,LC,NT,LC
Acryllium vulturinum,Vulturine Guineafowl,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Guttera plumifera,Plumed Guineafowl,LC,LC,0.01,0.17,0.09,LC,LC,LC,LC,LC,LC,0.01,0.17,0.09,LC,LC,LC,LC,LC,LC
Guttera verreauxi,Western Crested Guineafowl,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Guttera pucherani,Eastern Crested Guineafowl,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Guttera edouardi,Southern Crested Guineafowl,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Ptilopachus petrosus,Stone Partridge,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Ptilopachus nahani,Nahan's Partridge,VU,LC,0.01,0.17,0.09,LC,LC,LC,VU,VU,VU,0.01,0.2,0.11,LC,LC,LC,VU,VU,VU
Philortyx fasciatus,Banded Quail,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Oreortyx pictus,Mountain Quail,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Colinus virginianus,Northern Bobwhite,NT,NT,0.18,0.27,0.23,LC,NT,LC,LC,NT,LC,0.18,0.27,0.23,LC,NT,LC,LC,NT,LC
Colinus nigrogularis,Black-throated Bobwhite,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Colinus leucopogon,Spot-bellied Bobwhite,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Colinus cristatus,Crested Bobwhite,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Callipepla squamata,Scaled Quail,LC,LC,0.01,0.16,0.08,LC,LC,LC,LC,LC,LC,0.01,0.16,0.08,LC,LC,LC,LC,LC,LC
Callipepla douglasii,Elegant Quail,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Callipepla gambelii,Gambel's Quail,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Callipepla californica,California Quail,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Dendrortyx barbatus,Bearded Wood-partridge,VU,VU,0.26,0.45,0.36,NT,VU,VU,VU,VU,VU,0.37,0.61,0.5,VU,EN,EN,VU,EN,EN
Dendrortyx macroura,Long-tailed Wood-partridge,LC,LC,0.01,0.17,0.09,LC,LC,LC,LC,LC,LC,0.01,0.22,0.12,LC,LC,LC,LC,LC,LC
Dendrortyx leucophrys,Buffy-crowned Wood-partridge,LC,LC,0.01,0.17,0.09,LC,LC,LC,LC,LC,LC,0.01,0.21,0.11,LC,LC,LC,LC,LC,LC
Odontophorus gujanensis,Marbled Wood-quail,NT,NT,0.22,0.27,0.24,LC,NT,LC,LC,NT,LC,0.29,0.35,0.32,NT,VU,VU,NT,VU,VU
