Scientific name,Common name,Overall category,Category triggered by rate of population reduction (Criterion A),Optimistic decline10years,Pessimistic decline10years,Median decline10years,Optimistic category10years,Pessimistic category10years,Median category10years,Revised optimistic category10years,Revised pessimistic category10years,Revised median category10years,Optimistic decline3gens,Pessimistic decline3gens,Median decline3gens,Revised optimistic category3gens,Revised pessimistic category3gens,Revised median category3gens,Optimistic category3gens,Pessimistic category3gens,Median category3gens
Aethopyga christinae,Hainan Sunbird,LC,LC,0.01,0.16,0.08,LC,LC,LC,LC,LC,LC,0.01,0.16,0.08,LC,LC,LC,LC,LC,LC
Aethopyga linaraborae,Lina's Sunbird,NT,LC,0.01,0.16,0.08,LC,LC,LC,NT,NT,NT,0.01,0.16,0.08,LC,LC,LC,NT,NT,NT
Aethopyga primigenia,Grey-hooded Sunbird,NT,LC,0,0,0,LC,LC,LC,NT,NT,NT,0,0,0,LC,LC,LC,NT,NT,NT
Aethopyga boltoni,Apo Sunbird,NT,LC,0.01,0.16,0.08,LC,LC,LC,NT,NT,NT,0.01,0.16,0.08,LC,LC,LC,NT,NT,NT
Prunella himalayana,Altai Accentor,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Prunella collaris,Alpine Accentor,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Prunella immaculata,Maroon-backed Accentor,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Prunella rubeculoides,Robin Accentor,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Prunella strophiata,Rufous-breasted Accentor,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Prunella fulvescens,Brown Accentor,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Prunella koslowi,Mongolian Accentor,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Prunella rubida,Japanese Accentor,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Prunella montanella,Siberian Accentor,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Prunella modularis,Dunnock,LC,LC,0.01,0.15,0.07,LC,LC,LC,LC,LC,LC,0.01,0.16,0.08,LC,LC,LC,LC,LC,LC
Prunella atrogularis,Black-throated Accentor,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Prunella ocularis,Radde's Accentor,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Peucedramus taeniatus,Olive Warbler,LC,LC,0.01,0.17,0.09,LC,LC,LC,LC,LC,LC,0.01,0.17,0.09,LC,LC,LC,LC,LC,LC
Urocynchramus pylzowi,Przevalski's Rosefinch,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Bubalornis albirostris,White-billed Buffalo-weaver,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Bubalornis niger,Red-billed Buffalo-weaver,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Dinemellia dinemelli,White-headed Buffalo-weaver,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Plocepasser mahali,White-browed Sparrow-weaver,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Plocepasser superciliosus,Chestnut-crowned Sparrow-weaver,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Plocepasser donaldsoni,Donaldson-Smith's Sparrow-weaver,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Plocepasser rufoscapulatus,Chestnut-backed Sparrow-weaver,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Histurgops ruficauda,Rufous-tailed Weaver,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Sporopipes squamifrons,Scaly-fronted Weaver,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Sporopipes frontalis,Speckle-fronted Weaver,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Pseudonigrita arnaudi,Grey-capped Social-weaver,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Pseudonigrita cabanisi,Black-capped Social-weaver,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Philetairus socius,Sociable Weaver,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Amblyospiza albifrons,Thick-billed Weaver,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Quelea cardinalis,Cardinal Quelea,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
Quelea erythrops,Red-headed Quelea,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC,0,0,0,LC,LC,LC,LC,LC,LC
