"LPI_final" "CI_low" "CI_high"
"1970" 1 1 1
"1971" 0.98412541108728 0.973281429927556 0.994835018926563
"1972" 0.964205763216288 0.937911747025954 0.991166406557073
"1973" 0.960199583196701 0.926198264543064 0.991886845093711
"1974" 0.951433787762993 0.91595540925464 0.985491880547162
"1975" 0.941466495621198 0.90726884308356 0.975383515691107
"1976" 0.925252782642562 0.889527748525583 0.963722726029556
"1977" 0.903666042100202 0.863776578301054 0.939747336730694
"1978" 0.880278181877394 0.8435971003753 0.916510935396052
"1979" 0.8664171645803 0.826525763317505 0.902952136092537
"1980" 0.853622957772252 0.812364791508694 0.892614766143374
"1981" 0.831101529027562 0.787941849472704 0.872770106288153
"1982" 0.803144691471907 0.751773914918397 0.844707202333077
"1983" 0.783027737110635 0.730165642664923 0.829030175453507
"1984" 0.733243417939876 0.676423236705577 0.787130549238817
"1985" 0.714215219165369 0.644672295455444 0.769507266589253
"1986" 0.705262536766959 0.643188675654989 0.759320199563472
"1987" 0.673874647656976 0.602389005197902 0.72108804568273
"1988" 0.62337358416359 0.557308621558922 0.668965927136455
"1989" 0.624136339700059 0.553773949839385 0.680734056040911
"1990" 0.629825464395298 0.557320800679325 0.68056196864193
"1991" 0.607385628850899 0.541366706669505 0.660646744815752
"1992" 0.592941625117625 0.518678975257829 0.648374267741949
"1993" 0.585653822299153 0.512904737241779 0.649094611962612
"1994" 0.556515047677133 0.485610583666579 0.620396091804069
"1995" 0.549292874757229 0.479956423038185 0.604624644787766
"1996" 0.528449983988702 0.461604097639152 0.586472524528337
"1997" 0.51703175918861 0.451177180739305 0.581019823253369
"1998" 0.496963738094836 0.428456020964928 0.552281654281758
"1999" 0.481256537361515 0.418398250504171 0.536158291938928
"2000" 0.464117226803139 0.407340949412244 0.514401497781054
"2001" 0.454210011741536 0.401184465053694 0.508055566658021
"2002" 0.434991860479311 0.382693525359746 0.493450225163367
"2003" 0.433528515517332 0.377306276898864 0.496765187091556
"2004" 0.44430869598595 0.380901177622779 0.514562268742428
"2005" 0.43502238669448 0.376067634917992 0.514969013812183
"2006" 0.431101232058166 0.373674663950211 0.511694762874559
"2007" 0.428621023257682 0.372841766604007 0.499257662045584
"2008" 0.417517983568603 0.364252804311959 0.481440226000781
"2009" 0.414606336036179 0.358197864182461 0.490305425378522
"2010" 0.421337675362137 0.351529568051191 0.496024508174024
"2011" 0.414545571895397 0.346087849860849 0.493355066864072
"2012" 0.401936423687403 0.327597795033954 0.488245434376042
"2013" 0.398240836006225 0.329056755212716 0.483994490900545
"2014" 0.410569477416342 0.331693924153476 0.504653478175807
