"","Scientific_Name","Common_Name","Class","PresentInLPI","PresentInRL","Population_Trend","IUCN_Category","IUCN_Criteria","Generation_Length_Days","Generation_Length_Years","PercentDecrease10YMin","PercentDecreaseMin","PercentDecrease3GMin","PercentDecrease10YMid","PercentDecreaseMid","PercentDecrease3GMid","PercentDecrease10YMax","PercentDecreaseMax","PercentDecrease3GMax"
"26","Bettongia penicillata","Woylie","mammalia",TRUE,TRUE,"Decreasing","CR","A2ce",1517.6945,4.15522108145106,14.8660077479215,12.1122443490455,12.1122443490455,20.1786754970349,16.539793935268,16.539793935268,36.9042655519807,30.8870741555199,30.8870741555199
"27","Bos gaurus","Gaur","mammalia",TRUE,TRUE,"Decreasing","VU","A2cd+3cd+4cd",3285,8.99383983572895,3.50389048801824,1.3132240879825,1.3132240879825,4.90109037786124,1.84524817168165,1.84524817168165,6.51175273797047,2.46469475489302,2.46469475489302
"28","Bos sauveli","Kouprey","mammalia",FALSE,TRUE,"Decreasing","CR","A2d; C1+2a(i); D",3285,8.99383983572895,14.8660077479215,5.79054515374959,5.79054515374959,20.1786754970349,8.01374848378401,8.01374848378401,36.9042655519807,15.690756921472,15.690756921472
"29","Brachyteles arachnoides","Southern Muriqui","mammalia",TRUE,TRUE,"Decreasing","CR","A2cd",7300,19.9863107460643,14.8660077479215,2.6485284089205,2.6485284089205,20.1786754970349,3.68912806801446,3.68912806801446,36.9042655519807,7.39299570567395,7.39299570567395
"30","Brachyteles hypoxanthus","Northern Muriqui","mammalia",TRUE,TRUE,"Decreasing","CR","A2cd",7300,19.9863107460643,14.8660077479215,2.6485284089205,2.6485284089205,20.1786754970349,3.68912806801446,3.68912806801446,36.9042655519807,7.39299570567395,7.39299570567395
"31","Bubalus arnee","Wild Water Buffalo","mammalia",TRUE,TRUE,"Decreasing","EN","A2de+3de; C1",3285,8.99383983572895,6.69670084631926,2.53625287049356,2.53625287049356,9.8381456326306,3.76559153685522,3.76559153685522,14.449622653224,5.62003388399601,5.62003388399601
"32","Budorcas taxicolor","Takin","mammalia",FALSE,TRUE,"Decreasing","VU","A2cd",2920,7.99452429842574,3.50389048801824,1.47615984620982,1.47615984620982,4.90109037786124,2.0734970965063,2.0734970965063,6.51175273797047,2.76847924676236,2.76847924676236
"33","Cacajao calvus","Bald-headed Uacari","mammalia",FALSE,TRUE,"Decreasing","VU","A2cd",3650,9.99315537303217,3.50389048801824,1.18268149284166,1.18268149284166,4.90109037786124,1.66226604635902,1.66226604635902,6.51175273797047,2.22098393248984,2.22098393248984
"34","Cacajao hosomi","Black-headed Uacari","mammalia",FALSE,TRUE,"Decreasing","VU","A2d",3650,9.99315537303217,3.50389048801824,1.18268149284166,1.18268149284166,4.90109037786124,1.66226604635902,1.66226604635902,6.51175273797047,2.22098393248984,2.22098393248984
"35","Caenolestes convelatus","Blackish Shrew Opossum","mammalia",FALSE,TRUE,"Decreasing","VU","A2c",998.6765636,2.73422741574264,3.50389048801824,3.50389048801824,4.25509023276229,4.90109037786124,4.90109037786124,5.94248405562944,6.51175273797047,6.51175273797047,7.88094210815928
