"","LPI_final","CI_low","CI_high"
"1970",1,1,1
"1971",0.980206574917188,0.977617336152625,0.982752152293336
"1972",0.960804929510884,0.957387494437792,0.963803066591734
"1973",0.941787309119414,0.937736480632068,0.945643238574546
"1974",0.923146112572415,0.918786883020329,0.92806277475104
"1975",0.904873889152724,0.900878466826413,0.909890477352195
"1976",0.886963335618386,0.881536997041751,0.891950117879596
"1977",0.869407293283623,0.864029946379262,0.874081371659224
"1978",0.852198745157562,0.846960732056076,0.857133840858497
"1979",0.83533081313962,0.829046955278303,0.840761658943789
"1980",0.818796755270376,0.812966054892461,0.823401173571509
"1981",0.802589963036882,0.796597489134054,0.807414832965912
"1982",0.786703958731294,0.780384773807663,0.792330585582103
"1983",0.771132392861794,0.764168488089312,0.776502751294643
"1984",0.755869041614755,0.748571467713019,0.761841198078804
"1985",0.740907804367136,0.734080703366286,0.747037122712597
"1986",0.726242701248124,0.71886769956163,0.733033573566857
"1987",0.71186787074903,0.704933691720412,0.718696239900886
"1988",0.697777567380498,0.690314144375138,0.704552490251894
"1989",0.683966159376085,0.675661243010918,0.690768506738392
"1990",0.670428126441296,0.663174087723537,0.676893574233477
"1991",0.65715805754717,0.649629540453401,0.663214376813022
"1992",0.644150648767543,0.636684323838261,0.65026160398703
"1993",0.631400701159118,0.623930654334103,0.637659480984586
"1994",0.61890311868349,0.61158764034364,0.625411161066414
"1995",0.606652906170309,0.599486110330209,0.613645506984549
"1996",0.594645167320757,0.587238128024451,0.601543133530116
"1997",0.582875102750537,0.57651432307463,0.589965351453474
"1998",0.571338008071608,0.564858589580463,0.577737288047222
"1999",0.56002927201188,0.552928990913272,0.566848853375494
"2000",0.54894437457213,0.54142672604117,0.556126011217567
"2001",0.538078885219406,0.530596640117336,0.544823293258899
"2002",0.527428461116172,0.52070752857985,0.534762500305452
"2003",0.516988845384526,0.510433322819369,0.524930574012596
"2004",0.506755865404758,0.500183679163127,0.51443021821532
"2005",0.496725431147593,0.490437863692451,0.504228404982297
"2006",0.486893533539446,0.480297948751399,0.494433569576866
"2007",0.477256242860027,0.470624003775927,0.48487964175056
"2008",0.467809707171673,0.46088115572092,0.474869084075997
"2009",0.458550150779758,0.451679355922134,0.465005887861627
"2010",0.449473872723586,0.442867725644556,0.456460431389493
"2011",0.44057724529715,0.434148375405381,0.447614188134536
"2012",0.431856712599169,0.425532867557897,0.43833596541543
"2013",0.423308789111828,0.417038683712126,0.429912044180933
"2014",0.414930058307647,0.408420715758244,0.422387476389509
"2015",-99,NA,NA
"2016",-99,NA,NA
