"","LPI_final","CI_low","CI_high"
"1970",1,1,1
"1971",0.992212177014681,0.991216390929827,0.993394603014938
"1972",0.984677929431718,0.982852459021569,0.986782076394418
"1973",0.976965097924644,0.974743423771062,0.979754444172925
"1974",0.969121011236243,0.966259940078844,0.971966428057242
"1975",0.961424859595449,0.958435888626024,0.964725333189773
"1976",0.95346263557081,0.950179540065509,0.956853547176724
"1977",0.944870231963801,0.941735422209183,0.94876604868617
"1978",0.935670637851779,0.93245620558451,0.939630124074044
"1979",0.926994506076651,0.9237913930428,0.931463521550615
"1980",0.919778085313559,0.915841105255176,0.924374314270299
"1981",0.91192683036258,0.907736107377324,0.916959957191445
"1982",0.903020529951838,0.899176575559757,0.90829599081635
"1983",0.893591716490517,0.889466380931671,0.898743893273288
"1984",0.884369633546483,0.879761378841197,0.889595750874307
"1985",0.875059972541101,0.870626830551649,0.880470981849677
"1986",0.866944490091371,0.861715040506519,0.872641692715971
"1987",0.85868894276969,0.852672681863379,0.864737663439908
"1988",0.851402301479066,0.845334166924274,0.857827236964267
"1989",0.847619030901157,0.84073864561214,0.853585972923997
"1990",0.842557708923932,0.835117463863068,0.849217438281858
"1991",0.836406037153297,0.829146065504039,0.842598918811093
"1992",0.828027283841428,0.820863383690711,0.8339326471852
"1993",0.821256196175189,0.814274028622536,0.826749156467824
"1994",0.811629227550761,0.804090239321729,0.817180941256045
"1995",0.804359669440307,0.797149980040195,0.809440480336444
"1996",0.795281699239519,0.787763493699307,0.801136559548602
"1997",0.78857775707711,0.781582466486931,0.794470817559847
"1998",0.779628141977077,0.772265779330879,0.785773242019664
"1999",0.770550746927029,0.763303312004751,0.776789703867765
"2000",0.762504738551331,0.754776718548213,0.769244109943809
"2001",0.755423118580143,0.746473417351443,0.762519067336931
"2002",0.74889391410577,0.739806932546273,0.75599685869122
"2003",0.744033430990242,0.735210298082992,0.75194862028084
"2004",0.738265824211724,0.729680936381133,0.745922546243853
"2005",0.731257886624782,0.721853960716893,0.738995702100277
"2006",0.723178160988128,0.713289552507429,0.731001219882138
"2007",0.716388196039367,0.706718418091371,0.724098703749237
"2008",0.710191959862541,0.700604503883512,0.718058775248369
"2009",0.702640535641818,0.692897876477745,0.710454237177626
"2010",0.697823147753958,0.688352093770712,0.705885754454684
"2011",0.692618505392636,0.683427377510975,0.700945897016518
"2012",0.686090004157912,0.677651055503691,0.694190504564969
"2013",0.679728530295274,0.671251158633226,0.687857666396546
"2014",0.672070205933653,0.663785546321395,0.680240371811597
"2015",0.676210563392081,0.662276977222479,0.689599810705021
"2016",0.680655337929477,0.655888588195081,0.705402250801017
