"","Scientific_Name","Class","Common_Name"
"2","Abramis brama","actinopterygii","Freshwater bream"
"3","Abrothrix longipilis","mammalia","Long-haired grass mouse"
"4","Abrothrix olivaceus","mammalia","Olive grass mouse"
"5","Abudefduf bengalensis","actinopterygii","Bengal sergeant"
"6","Abudefduf saxatilis","actinopterygii","Sergeant major"
"7","Abudefduf sexfasciatus","actinopterygii","Scissortail sergeant"
"8","Abudefduf sordidus","actinopterygii","Blackspot sergeant"
"9","Abudefduf vaigiensis","actinopterygii","Indo-Pacific sergeant"
"10","Acanthaluteres vittiger","actinopterygii","Toothbrush leatherjacket"
"11","Acanthemblemaria aspera","actinopterygii","Roughhead blenny"
"12","Acanthemblemaria chaplini","actinopterygii","Papillose blenny"
"13","Acanthemblemaria spinosa","actinopterygii","Spinyhead blenny"
"14","Acanthis flammea","aves","Redpoll"
"15","Acanthistius sebastoides","actinopterygii","Koester"
"16","Acanthiza apicalis","aves","Inland thornbill"
"17","Acanthiza reguloides","aves","Buff-rumped thornbill"
"18","Acanthiza uropygialis","aves","Chestnut-rumped thornbill"
"19","Acanthochromis polyacanthus","actinopterygii","Spiny chromis"
"20","Acanthodactylus aureus","reptilia","Nidua fringe-fingered lizard"
"21","Acanthogobius flavimanus","actinopterygii","Yellowfin goby"
"22","Acanthopagrus australis","actinopterygii","Yellowfin bream"
"23","Acanthopagrus berda","actinopterygii","Goldsilk seabream"
"24","Acanthopagrus butcheri","actinopterygii","Black bream"
"25","Acanthopagrus schlegelii","actinopterygii","Blackhead seabream"
"26","Acanthophis praelongus","reptilia","Northern death adder"
"27","Acanthostracion polygonius","actinopterygii","Honeycomb cowfish"
"28","Acanthostracion quadricornis","actinopterygii","Scrawled cowfish"
"29","Acanthurus achilles","actinopterygii","Achilles tang"
"30","Acanthurus bahianus","actinopterygii","Barber surgeonfish"
"31","Acanthurus blochii","actinopterygii","Ringtail surgeonfish"
"32","Acanthurus chirurgus","actinopterygii","Doctorfish"
"33","Acanthurus coeruleus","actinopterygii","Blue tang surgeonfish"
"34","Acanthurus dussumieri","actinopterygii","Eyestripe surgeonfish"
"35","Acanthurus lineatus","actinopterygii","Lined surgeonfish"
"36","Acanthurus nigricans","actinopterygii","Whitecheek surgeonfish"
"37","Acanthurus nigrofuscus","actinopterygii","Brown surgeonfish"
"38","Acanthurus tractus","actinopterygii","Ocean surgeonfish"
"39","Acanthurus xanthopterus","actinopterygii","Yellowfin surgeonfish"
"40","Accipiter badius","aves","Shikra"
"41","Accipiter cooperii","aves","Cooper's hawk"
"42","Accipiter gentilis","aves","Northern goshawk"
"43","Accipiter nisus","aves","Eurasian sparrowhawk"
"44","Accipiter striatus","aves","Sharp-shinned hawk"
"45","Acentrogobius viridipunctatus","actinopterygii","Spotted green goby"
"46","Acestrorhynchus falcatus","actinopterygii","Spotted cachorro"
"47","Acestrorhynchus microlepis","actinopterygii","Pike characin"
"48","Achirus lineatus","actinopterygii","Lined sole"
"49","Acinonyx jubatus","mammalia","Cheetah"
"50","Acipenser brevirostrum","actinopterygii","Shortnose sturgeon"
"51","Acipenser fulvescens","actinopterygii","Lake sturgeon"
"52","Acipenser gueldenstaedtii","actinopterygii","Danube sturgeon"
"53","Acipenser medirostris","actinopterygii","Green sturgeon"
"54","Acipenser nudiventris","actinopterygii","Fringebarbel sturgeon"
"55","Acipenser oxyrinchus","actinopterygii","Atlantic sturgeon"
"56","Acipenser persicus","actinopterygii","Persian sturgeon"
"57","Acipenser ruthenus","actinopterygii","Sterlet sturgeon"
"58","Acipenser schrenckii","actinopterygii","Amur sturgeon"
"59","Acipenser sinensis","actinopterygii","Chinese sturgeon"
"60","Acipenser stellatus","actinopterygii","Starry sturgeon"
"61","Acipenser transmontanus","actinopterygii","White sturgeon"
"62","Acreichthys tomentosus","actinopterygii","Bristle-tail file-fish"
"63","Acridotheres javanicus","aves","Javan myna"
"64","Acridotheres tristis","aves","Common myna"
"65","Acris crepitans","amphibia","Northern cricket frog"
"66","Acris gryllus","amphibia","Southern cricket frog"
"67","Acrocephalus aequinoctialis","aves","Kiritimati reed-warbler / Bokikokiko"
"68","Acrocephalus agricola","aves","Paddyfield warbler"
"69","Acrocephalus arundinaceus","aves","Great reed-warbler"
"70","Acrocephalus australis","aves","Australasian reed-warbler"
"71","Acrocephalus dumetorum","aves","Blyth's reed-warbler"
"72","Acrocephalus luscinius","aves","Guam reed-warbler"
"73","Acrocephalus melanopogon","aves","Moustached warbler"
"74","Acrocephalus palustris","aves","Marsh warbler"
"75","Acrocephalus schoenobaenus","aves","Sedge warbler"
"76","Acrocephalus scirpaceus","aves","Common reed-warbler"
"77","Acrocephalus sechellensis","aves","Seychelles warbler"
"78","Acrochordus arafurae","reptilia","Arafura filesnake"
"79","Acroteriobatus annulatus","chondrichthyes","Lesser sandshark"
"80","Actitis hypoleucos","aves","Common sandpiper"
"81","Actitis macularius","aves","Spotted sandpiper"
"82","Actophilornis africanus","aves","African jacana"
"83","Addax nasomaculatus","mammalia","Addax"
"84","Adenomera andreae","amphibia","Lowland tropical bullfrog"
"85","Adenomera araucaria","amphibia","No common name"
"86","Adenomus kandianus","amphibia","Kandian torrent toad"
"87","Aechmophorus occidentalis","aves","Western grebe"
"88","Aegithalos caudatus","aves","Long-tailed tit"
"89","Aegithina tiphia","aves","Common iora"
"90","Aegolius acadicus","aves","Northern saw-whet owl"
"91","Aegolius funereus","aves","Boreal owl"
"92","Aegypius monachus","aves","Cinereous vulture / Black vulture "
"93","Aepyceros melampus","mammalia","Impala / Black-faced impala"
"94","Aerodramus bartschi","aves","Mariana swiftlet"
"95","Aerodramus maximus","aves","Black-nest swiftlet"
"96","Aeronautes saxatalis","aves","White-throated swift"
"97","Aetobatus narinari","chondrichthyes","Spotted eagle ray"
"98","Agalychnis callidryas","amphibia","Red-eyed treefrog"
"99","Agalychnis lemur","amphibia","Lemur leaf frog"
"100","Agelaius phoeniceus","aves","Red-winged blackbird"
"101","Agelaius tricolor","aves","Tricolored blackbird"
"102","Agelaius xanthomus","aves","Yellow-shouldered blackbird"
"103","Agelasticus cyanopus","aves","Unicolored blackbird"
"104","Agonus cataphractus","actinopterygii","Hooknose"
"105","Ailuroedus melanotis","aves","Black-eared catbird"
"106","Ailuropoda melanoleuca","mammalia","Giant panda"
"107","Aimophila ruficeps","aves","Rufous-crowned sparrow"
"108","Aipysurus apraefrontalis","reptilia","Short-nosed sea snake"
"109","Aipysurus foliosquama","reptilia","Leaf-scaled sea snake"
"110","Aipysurus fuscus","reptilia","Dusky sea snake"
"111","Aipysurus laevis","reptilia","Olive-brown sea snake"
"112","Aix sponsa","aves","Wood duck"
"113","Akodon azarae","mammalia","Azara's grass mouse"
"114","Akodon cursor","mammalia","Cursor grass mouse / Cusorial akodont"
"115","Akodon montensis","mammalia","Montane akodont"
"116","Alauda arvensis","aves","Eurasian skylark"
"117","Alauda razae","aves","Raso lark"
"118","Albatrossia pectoralis","actinopterygii","Giant grenadier"
"119","Albula glossodonta","actinopterygii","Roundjaw bonefish"
"120","Alburnoides prespensis","actinopterygii","Prespa spirlin"
"121","Alburnus alburnus","actinopterygii","Bleak"
"122","Alburnus arborella","actinopterygii","Alborella"
"123","Alburnus belvica","actinopterygii","No common name"
"124","Alburnus chalcoides","actinopterygii","Danube bleak"
"125","Alca torda","aves","Razorbill"
"126","Alcedo atthis","aves","Common kingfisher"
"127","Alcelaphus buselaphus","mammalia","Hartebeest / Swayne's hartebeest"
"128","Alcelaphus buselaphus ssp. caama","mammalia","Red hartebeest"
"129","Alces alces","mammalia","Moose"
"130","Alces alces","mammalia","Elk / moose"
"131","Aldrichetta forsteri","actinopterygii","Yellow-eye mullet"
"132","Alectis indica","actinopterygii","Indian threadfish"
"133","Alectoris chukar","aves","Chukar"
"134","Alectoris graeca","aves","Rock partridge"
"135","Alectoris rufa","aves","Red-legged partridge"
"136","Alepisaurus ferox","actinopterygii","Long snouted lancetfish"
"137","Alepocephalus australis","actinopterygii","Small scaled brown slickhead"
"138","Alestes baremoze","actinopterygii","Silversides"
"139","Alle alle","aves","Little auk / Dovekie"
"140","Alligator mississippiensis","reptilia","American alligator"
"141","Alligator sinensis","reptilia","Chinese alligator"
"142","Allobates marchesianus","amphibia","Dull rocket frog"
"143","Allobates talamancae","amphibia","Talamanca rocket frog"
"144","Alopecoenas xanthonurus","aves","White-throated ground-dove"
"145","Alopias superciliosus","chondrichthyes","Bigeye thresher shark"
"146","Alopias vulpinus","chondrichthyes","Thresher shark"
"147","Alopochelidon fucata","aves","Tawny-headed swallow"
"148","Alopochen aegyptiaca","aves","Egyptian goose"
"149","Alosa aestivalis","actinopterygii","Blueback herring / shad"
"150","Alosa alabamae","actinopterygii","Alabama shad"
"151","Alosa alosa","actinopterygii","Allis shad"
"152","Alosa fallax","actinopterygii","Twaite shad"
"153","Alosa mediocris","actinopterygii","Hickory shad"
"154","Alosa pseudoharengus","actinopterygii","Alewife"
"155","Alosa sapidissima","actinopterygii","American shad"
"156","Alouatta caraya","mammalia","Black and gold howler monkey"
"157","Alouatta palliata","mammalia","Mantled howler monkey / Golden-mantled howling monkey"
"158","Alouatta seniculus","mammalia","Red howler monkey"
"159","Alsophis antiguae","reptilia","Antiguan racer"
"160","Aluterus schoepfii","actinopterygii","Orange filefish"
"161","Aluterus scriptus","actinopterygii","Scribbled leatherjacket filefish"
"162","Alytes obstetricans","amphibia","Common midwife toad"
"163","Amalosia lesueurii","reptilia","Lesueur's velvet gecko"
"164","Amatitlania siquia","actinopterygii","No common name"
"165","Amaurornis phoenicurus","aves","White-breasted waterhen"
"166","Amazilia candida","aves","White-bellied emerald"
"167","Amazilia lactea","aves","Sapphire-spangled emerald"
"168","Amazilia versicolor","aves","Versicolored emerald"
"169","Amazona arausiaca","aves","Red-necked amazon"
"170","Amazona auropalliata","aves","Yellow-naped amazon"
"171","Amazona barbadensis","aves","Yellow-shouldered amazon"
"172","Amazona leucocephala","aves","Cuban amazon"
"173","Amazona tucumana","aves","Tucuman amazon"
"174","Amazona versicolor","aves","St Lucia amazon"
"175","Amazona vittata","aves","Puerto rican amazon"
"176","Amazonetta brasiliensis","aves","Brazilian teal"
"177","Ambassis agassizii","actinopterygii","Agassiz's glassfish"
"178","Ambassis agrammus","actinopterygii","Sailfin glass perchlet"
"179","Ambassis ambassis","actinopterygii","Commerson's glassy"
"180","Ambassis gymnocephalus","actinopterygii","Bald glassy"
"181","Ambassis interrupta","actinopterygii","Long-spined glass perchlet"
"182","Ambassis macleayi","actinopterygii","Macleay's glass perchlet"
"183","Ambassis miops","actinopterygii","Flag-tailed glass perchlet"
"184","Ambassis productus","actinopterygii","Longspine glassy"
"185","Ambassis vachellii","actinopterygii","Vachelli's glass perchlet"
"186","Ambloplites rupestris","actinopterygii","Rock bass"
"187","Amblycirrhitus pinos","actinopterygii","Redspotted hawkfish"
"188","Amblyglyphidodon curacao","actinopterygii","Staghorn damselfish"
"189","Amblyglyphidodon leucogaster","actinopterygii","Yellowbelly damselfish"
"190","Amblyraja radiata","chondrichthyes","Starry ray"
"191","Amblyrhynchotes honckenii","actinopterygii","Evileye blaasop"
"192","Amblyrhynchus cristatus","reptilia","Galapagos marine iguana / Sea iguana"
"193","Ambystoma californiense","amphibia","California tiger salamander"
"194","Ambystoma cingulatum","amphibia","Frosted flatwood salamander"
"195","Ambystoma gracile","amphibia","Northwestern salamander"
"196","Ambystoma jeffersonianum","amphibia","Jefferson salamander"
"197","Ambystoma laterale","amphibia","Blue-spotted salamander"
"198","Ambystoma macrodactylum","amphibia","Long-toed salamander"
"199","Ambystoma maculatum","amphibia","Spotted salamander"
"200","Ambystoma mavortium","amphibia","Western tiger salamander"
"201","Ambystoma opacum","amphibia","Marbled salamander"
"202","Ambystoma talpoideum","amphibia","Mole salamander"
"203","Ambystoma tigrinum","amphibia","Tiger salamander"
"204","Ameerega planipaleae","amphibia","Oxapampa poison frog"
"205","Ameiurus catus","actinopterygii","White catfish"
"206","Ameiurus melas","actinopterygii","Black bullhead"
"207","Ameiurus natalis","actinopterygii","Yellow bullhead"
"208","Ameiurus nebulosus","actinopterygii","Brown bullhead"
"209","Ameivula ocellifera","reptilia","Spix's whiptail"
"210","Amia calva","actinopterygii","Bowfin"
"211","Ammodramus humeralis","aves","Grassland sparrow"
"212","Ammodramus savannarum","aves","Grasshopper sparrow"
"213","Ammodytes americanus","actinopterygii","American sand lance"
"214","Ammodytes dubius","actinopterygii","Northern sand lance"
"215","Ammodytes hexapterus","actinopterygii","Pacific sand lance"
"216","Ammodytes marinus","actinopterygii","Sand eel"
"217","Ammodytes tobianus","actinopterygii","Small sandeel"
"218","Ammospiza leconteii","aves","Le Conte's sparrow"
"219","Ammospiza maritima","aves","Seaside sparrow"
"220","Ammospiza nelsoni","aves","Nelson's sparrow"
"221","Amniataba percoides","actinopterygii","Barred grunter"
"222","Amphibolurus muricatus","reptilia","Jacky lashtail / Jacky lizard / Jacky dragon"
"223","Amphilophus citrinellus","actinopterygii","Midas cichlid"
"224","Amphiprion clarkii","actinopterygii","Yellowtail clownfish"
"225","Amphiprion frenatus","actinopterygii","Tomato clownfish"
"226","Amphispiza bilineata","aves","Black-throated sparrow"
"227","Anairetes fernandezianus","aves","Juan Fernandez tit-tyrant"
"228","Anarhichas denticulatus","actinopterygii","Northern wolffish"
"229","Anarhichas lupus","actinopterygii","Atlantic wolffish"
"230","Anarhichas minor","actinopterygii","Spotted wolffish"
"231","Anarrhichthys ocellatus","actinopterygii","Wolf-eel"
"232","Anas acuta","aves","Northern pintail"
"233","Anas castanea","aves","Chestnut teal"
"234","Anas crecca","aves","Common teal"
"235","Anas fulvigula","aves","Mottled duck"
"236","Anas gracilis","aves","Grey teal"
"237","Anas laysanensis","aves","Laysan duck"
"238","Anas platyrhynchos","aves","Mallard"
"239","Anas poecilorhyncha","aves","Indian spot-billed duck"
"240","Anas rubripes","aves","American black duck"
"241","Anas superciliosa","aves","Pacific black duck"
"242","Anas undulata","aves","Yellow-billed duck"
"243","Anas wyvilliana","aves","Hawaiian duck"
"244","Anastomus oscitans","aves","Asian openbill"
"245","Anaxyrus americanus","amphibia","American toad"
"246","Anaxyrus boreas","amphibia","Western toad / Boreal toad"
"247","Anaxyrus canorus","amphibia","Yosemite toad"
"248","Anaxyrus fowleri","amphibia","Fowler's toad"
"249","Anaxyrus hemiophrys","amphibia","Canadian toad"
"250","Anaxyrus quercicus","amphibia","Oak toad"
"251","Anaxyrus terrestris","amphibia","Southern toad"
"252","Anchoa marinii","actinopterygii","Marini's anchovy"
"253","Anchoa mitchilli","actinopterygii","Bay anchovy"
"254","Anchovia surinamensis","actinopterygii","Surinam anchovy"
"255","Anchoviella lepidentostole","actinopterygii","Broadband anchovy"
"256","Andinobates minutus","amphibia","Bluebelly poison frog"
"257","Aneides aeneus","amphibia","Green salamander"
"258","Aneides flavipunctatus","amphibia","Black salamander"
"259","Aneides hardii","amphibia","Sacramento mountain salamander"
"260","Aneides vagrans","amphibia","Wandering salamander"
"261","Anguilla anguilla","actinopterygii","European eel"
"262","Anguilla australis","actinopterygii","Short-finned eel"
"263","Anguilla dieffenbachii","actinopterygii","New Zealand longfin eel"
"264","Anguilla japonica","actinopterygii","Japanese eel"
"265","Anguilla malgumora","actinopterygii","Indonesian longfinned eel"
"266","Anguilla obscura","actinopterygii","Pacific shortfinned eel"
"267","Anguilla reinhardtii","actinopterygii","Speckled longfin eel"
"268","Anguilla rostrata","actinopterygii","American eel"
"269","Anguis fragilis","reptilia","Slow worm"
"270","Anhima cornuta","aves","Horned screamer"
"271","Anhinga anhinga","aves","Anhinga"
"272","Anhinga melanogaster","aves","Oriental darter"
"273","Anhinga rufa","aves","African darter"
"274","Anisotremus moricandi","actinopterygii","Brownstriped grunt"
"275","Anisotremus surinamensis","actinopterygii","Black margate"
"276","Anisotremus virginicus","actinopterygii","Porkfish"
"277","Anodonthyla boulengeri","amphibia","Boulenger's climbing frog"
"278","Anodontiglanis dahli","actinopterygii","Toothless catfish"
"279","Anodontostoma chacunda","actinopterygii","Chacunda gizzard shad"
"280","Anolis apletophallus","reptilia","No common name"
"281","Anolis evermanni","reptilia","Emerald anole"
"282","Anolis grahami","reptilia","Graham's anole"
"283","Anolis gundlachi","reptilia","Yellow-chinned anole"
"284","Anolis krugi","reptilia","Olive bush anole"
"285","Anolis lineatopus","reptilia","Stripefoot anole"
"286","Anolis microlepis","reptilia","Slender anole"
"287","Anolis sagrei","reptilia","Cuban brown anole"
"288","Anomaloglossus stepheni","amphibia","Stephen's rocket frog"
"289","Anoplopoma fimbria","actinopterygii","Sablefish"
"290","Anorrhinus galeritus","aves","Bushy-crested hornbill"
"291","Anous minutus","aves","Black noddy"
"292","Anous stolidus","aves","Brown noddy"
"293","Anous tenuirostris","aves","Lesser noddy"
"294","Anser albifrons","aves","Greater white-fronted goose"
"295","Anser anser","aves","Greylag goose"
"296","Anser brachyrhynchus","aves","Pink-footed goose"
"297","Anser caerulescens","aves","Snow goose"
"298","Anser canagicus","aves","Emperor goose"
"299","Anser erythropus","aves","Lesser white-fronted goose"
"300","Anser fabalis","aves","Bean goose"
"301","Anser rossii","aves","Ross's goose"
"302","Anseranas semipalmata","aves","Magpie goose"
"303","Antaresia childreni","reptilia","Children's python"
"304","Antechinus bellus","mammalia","Fawn antechinus"
"305","Anthias anthias","actinopterygii","Swallowtail seaperch"
"306","Anthochaera carunculata","aves","Red wattlebird"
"307","Anthochaera chrysoptera","aves","Little wattlebird"
"308","Anthreptes malacensis","aves","Brown-throated sunbird"
"309","Anthus campestris","aves","Tawny pipit"
"310","Anthus cervinus","aves","Red-throated pipit"
"311","Anthus hodgsoni","aves","Olive-backed pipit"
"312","Anthus lutescens","aves","Yellowish pipit"
"313","Anthus petrosus","aves","Rock pipit"
"314","Anthus pratensis","aves","Meadow pipit"
"315","Anthus richardi","aves","Richard's pipit"
"316","Anthus rubescens","aves","Buff-bellied pipit"
"317","Anthus spinoletta","aves","Water pipit"
"318","Anthus spragueii","aves","Sprague's pipit"
"319","Anthus trivialis","aves","Tree pipit"
"320","Antidorcas marsupialis","mammalia","Springbok"
"321","Antigone antigone","aves","Sarus crane"
"322","Antigone canadensis","aves","Sandhill crane"
"323","Antigone vipio","aves","White-naped crane"
"324","Antilocapra americana","mammalia","Pronghorn"
"325","Antilophia galeata","aves","Helmeted manakin"
"326","Antimora microlepis","actinopterygii","Finescale mora"
"327","Antimora rostrata","actinopterygii","Blue antimora"
"328","Antrostomus carolinensis","aves","Chuck-will's-widow"
"329","Antrostomus vociferus","aves","Eastern whip-poor-will"
"330","Apalone spinifera","reptilia","Spiny softshell turtle"
"331","Apareiodon affinis","actinopterygii","Darter characine"
"332","Apeltes quadracus","actinopterygii","Fourspine stickleback"
"333","Aphelocoma californica","aves","Western scrub-jay"
"334","Aphyocharax anisitsi","actinopterygii","Bloodfin tetra"
"335","Apistogramma borellii","actinopterygii","Umbrella cichlid"
"336","Apistogramma commbrae","actinopterygii","Corumba cichlid"
"337","Apistogramma trifasciata","actinopterygii","No common name"
"338","Aplodactylus arctidens","actinopterygii","Marblefish"
"339","Aplodinotus grunniens","actinopterygii","Freshwater drum"
"340","Aplonis opaca","aves","Micronesian starling"
"341","Aplonis panayensis","aves","Asian glossy starling"
"342","Apodemus agrarius","mammalia","Striped field mouse"
"343","Apodemus flavicollis","mammalia","Yellow-necked field mouse"
"344","Apodemus sylvaticus","mammalia","Long-tailed field mouse"
"345","Apogon fleurieu","actinopterygii","Flower cardinalfish"
"346","Apogon imberbis","actinopterygii","Cardinal fish"
"347","Aprion virescens","actinopterygii","Green jobfish"
"348","Apristurus brunneus","chondrichthyes","Brown catshark"
"349","Aptenodytes forsteri","aves","Emperor penguin"
"350","Aptenodytes patagonicus","aves","King penguin"
"351","Apteryx australis","aves","Southern brown kiwi"
"352","Apteryx haastii","aves","Great spotted kiwi"
"353","Apteryx owenii","aves","Little spotted kiwi"
"354","Apus apus","aves","Common swift"
"355","Aquila adalberti","aves","Spanish imperial eagle"
"356","Aquila audax","aves","Wedge-tailed eagle"
"357","Aquila chrysaetos","aves","Golden eagle"
"358","Aquila fasciata","aves","Bonelli's eagle"
"359","Aquila heliaca","aves","Eastern imperial eagle"
"360","Aquila nipalensis","aves","Steppe eagle"
"361","Aquila rapax","aves","Tawny eagle"
"362","Aquila spilogaster","aves","African hawk-eagle"
"363","Ara ararauna","aves","Blue-and-yellow macaw"
"364","Aramides cajaneus","aves","Grey-necked wood-rail"
"365","Aramides saracura","aves","Slaty-breasted wood-rail"
"366","Arapaima gigas","actinopterygii","Arapaima"
"367","Archilochus alexandri","aves","Black-chinned hummingbird"
"368","Archilochus colubris","aves","Ruby-throated hummingbird"
"369","Archosargus rhomboidalis","actinopterygii","Western Atlantic seabream"
"370","Arctictis binturong","mammalia","Binturong"
"371","Arctocephalus australis","mammalia","South american fur seal"
"372","Arctocephalus forsteri","mammalia","New Zealand fur seal"
"373","Arctocephalus gazella","mammalia","Antarctic fur seal"
"374","Arctocephalus philippii","mammalia","Juan Fernandez fur seal"
"375","Arctocephalus pusillus","mammalia","Cape fur seal"
"376","Arctocephalus townsendi","mammalia","Guadalupe fur seal"
"377","Arctocephalus tropicalis","mammalia","Sub-antarctic fur seal"
"378","Arctogalidia trivirgata","mammalia","Small-toothed palm civet"
"379","Ardea alba","aves","Great white egret"
"380","Ardea brachyrhyncha","aves","Yellow-billed egret"
"381","Ardea cinerea","aves","Grey heron"
"382","Ardea cocoi","aves","Cocoi heron"
"383","Ardea herodias","aves","Great blue heron"
"384","Ardea humbloti","aves","Madagascar heron"
"385","Ardea intermedia","aves","Intermediate egret"
"386","Ardea plumifera","aves","Plumed egret"
"387","Ardea purpurea","aves","Purple heron"
"388","Ardenna gravis","aves","Great shearwater"
"389","Ardenna grisea","aves","Sooty shearwater"
"390","Ardenna pacifica","aves","Wedge-tailed shearwater"
"391","Ardenna tenuirostris","aves","Short-tailed shearwater"
"392","Ardeola bacchus","aves","Chinese pond-heron"
"393","Ardeola grayii","aves","Indian pond-heron"
"394","Ardeola ralloides","aves","Squacco heron"
"395","Ardops nichollsi","mammalia","Tree bat"
"396","Arenaria interpres","aves","Ruddy turnstone"
"397","Arenaria melanocephala","aves","Black turnstone"
"398","Argentina silus","actinopterygii","Atlantic argentine"
"399","Argentina sphyraena","actinopterygii","Lesser argentine"
"400","Argusianus argus","aves","Great argus"
"401","Argyrosomus japonicus","actinopterygii","Japanese meagre"
"402","Argyrosomus thorpei","actinopterygii","Squaretail kob"
"403","Ariopsis felis","actinopterygii","Hardhead sea catfish"
"404","Arizona elegans","reptilia","Glossy snake"
"405","Arnoglossus laterna","actinopterygii","Mediterranean scaldfish"
"406","Arothron hispidus","actinopterygii","White-spotted puffer"
"407","Arothron immaculatus","actinopterygii","Immaculate puffer"
"408","Arothron meleagris","actinopterygii","Guineafowl puffer"
"409","Arremon brunneinucha","aves","Chestnut-capped brush-finch"
"410","Arremon flavirostris","aves","Saffron-billed sparrow"
"411","Arremonops rufivirgatus","aves","Olive sparrow"
"412","Arses kaupi","aves","Pied monarch"
"413","Artediellus uncinatus","actinopterygii","Arctic hookear sculpin"
"414","Artemisiospiza belli","aves","Bell's sparrow"
"415","Arundinicola leucocephala","aves","White-headed marsh-tyrant"
"416","Arvicola amphibius","mammalia","Water vole"
"417","Arvicola sapidus","mammalia","Southern water vole"
"418","Ascaphus truei","amphibia","American discoglossoid toad / American bell toad"
"419","Asemospiza fuliginosa","aves","Sooty grassquit"
"420","Asio flammeus","aves","Short-eared owl"
"421","Asio otus","aves","Northern long-eared owl"
"422","Aspidophoroides monopterygius","actinopterygii","Alligatorfish"
"423","Aspidoscelis tigris","reptilia","Tiger whiptail / Western whiptail"
"424","Aspistor luniscutis","actinopterygii","No common name"
"425","Astrochelys yniphora","reptilia","Angonoka / Ploughshare tortoise"
"426","Astronotus ocellatus","actinopterygii","Oscar"
"427","Astroscopus guttatus","actinopterygii","Northern stargazer"
"428","Astyanax altiparanae","actinopterygii","No common name"
"429","Astyanax bimaculatus","actinopterygii","Twospot astyanax"
"430","Astyanax eigenmanniorum","actinopterygii","Tetra"
"431","Ateles belzebuth","mammalia","White-fronted spider monkey"
"432","Ateles chamek","mammalia","Peruvian spider monkey"
"433","Ateles geoffroyi","mammalia","Black-handed spider monkey"
"434","Atelopus coynei","amphibia","Rio Faisanes stubfoot toad"
"435","Atelopus cruciger","amphibia","Veragua stubfoot toad"
"436","Atelopus ignescens","amphibia","Jambato toad"
"437","Atelopus longirostris","amphibia","Longnose stubfoot toad"
"438","Atelopus mindoensis","amphibia","Mindo stubfoot toad"
"439","Atelopus mucubajiensis","amphibia","Mucubaji stubfoot toad"
"440","Atelopus pinangoi","amphibia","Green and red venter harlequin toad"
"441","Atelopus planispina","amphibia","Flat-spined Atelopus / Napo stubfoot toad"
"442","Atelopus varius","amphibia","Veragoa stubfoot toad"
"443","Atelopus zeteki","amphibia","Zetek's frog / Cerro Campana stubfoot toad"
"444","Athene cunicularia","aves","Burrowing owl"
"445","Athene noctua","aves","Little owl"
"446","Atheresthes evermanni","actinopterygii","Kamchatka flounder"
"447","Atheresthes stomias","actinopterygii","Arrowtooth flounder"
"448","Atherina boyeri","actinopterygii","Big-scale sand smelt"
"449","Atherina breviceps","actinopterygii","Cape silverside"
"450","Atherina hepsetus","actinopterygii","Mediterranean sand smelt"
"451","Atherinella brasiliensis","actinopterygii","Brazilian silversides"
"452","Atherinomorus stipes","actinopterygii","Hardhead silverside"
"453","Atherinosoma microstoma","actinopterygii","Small-mouth hardyhead"
"454","Atractosteus spatula","actinopterygii","Alligator gar"
"455","Atrichornis clamosus","aves","Noisy scrub-bird"
"456","Atthis heloisa","aves","Bumblebee hummingbird"
"457","Auchenipterus nuchalis","actinopterygii","No common name"
"458","Aulostomus maculatus","actinopterygii","Trumpetfish"
"459","Auriparus flaviceps","aves","Verdin"
"460","Australoheros facetus","actinopterygii","Chameleon cichlid"
"461","Automolus leucophthalmus","aves","White-eyed foliage-gleaner"
"462","Aviceda subcristata","aves","Pacific baza"
"463","Awaous acritosus","actinopterygii","Roman nose goby"
"464","Awaous aeneofuscus","actinopterygii","Freshwater goby"
"465","Awaous banana","actinopterygii","River goby"
"466","Axis axis","mammalia","Chital / Axis deer / Indian spotted deer"
"467","Axis porcinus","mammalia","Hog deer"
"468","Aythya affinis","aves","Lesser scaup"
"469","Aythya americana","aves","Redhead"
"470","Aythya baeri","aves","Baer's pochard"
"471","Aythya collaris","aves","Ring-necked duck"
"472","Aythya ferina","aves","Common pochard"
"473","Aythya fuligula","aves","Tufted duck"
"474","Aythya marila","aves","Greater scaup"
"475","Aythya nyroca","aves","Ferruginous duck"
"476","Aythya valisineria","aves","Canvasback"
"477","Baeolophus bicolor","aves","Tufted titmouse"
"478","Baeolophus inornatus","aves","Oak titmouse"
"479","Baeolophus ridgwayi","aves","Juniper titmouse"
"480","Bagre marinus","actinopterygii","Gafftopsail sea catfish"
"481","Bagrus docmak","actinopterygii","Semutundu"
"482","Baiomys musculus","mammalia","Southern pygmy mouse"
"483","Bairdiella chrysoura","actinopterygii","Silver perch"
"484","Bairdiella ronchus","actinopterygii","Ground croaker"
"485","Balaena mysticetus","mammalia","Bowhead whale"
"486","Balaenoptera acutorostrata","mammalia","Minke whale"
"487","Balaenoptera borealis","mammalia","Sei whale"
"488","Balaenoptera edeni","mammalia","Bryde's whale"
"489","Balaenoptera musculus","mammalia","Blue whale"
"490","Balaenoptera physalus","mammalia","Fin whale"
"491","Balearica pavonina","aves","Black crowned-crane"
"492","Balearica regulorum","aves","Grey-crowned crane"
"493","Balistes capriscus","actinopterygii","Grey triggerfish"
"494","Balistes vetula","actinopterygii","Queen triggerfish"
